# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.652399472594e-10       7.656724414038e-15       2.360332551812e-13       0.000000000000e+00       8.506248929373e-11       8.870142765317e-12      -7.006540741851e-15 
   41       1.677118561623e-10       8.317266212952e-15       2.267417042246e-13       0.000000000000e+00       8.085711485876e-11       8.471396889878e-12      -6.522140003102e-15 
   42       1.702068793063e-10       9.013171808884e-15       2.160386542149e-13       0.000000000000e+00       7.692379081211e-11       8.092251538166e-12      -6.481016809971e-15 
   43       1.727280322717e-10       9.745252872449e-15       2.038918257182e-13       0.000000000000e+00       7.325212529223e-11       7.734265248568e-12      -6.747981204996e-15 
   44       1.752749409814e-10       1.051431332840e-14       1.902694606318e-13       0.000000000000e+00       6.981547156802e-11       7.398019464412e-12      -7.152943619601e-15 
   45       1.778454056716e-10       1.132108717597e-14       1.751389284589e-13       0.000000000000e+00       6.658045780309e-11       7.083252927157e-12      -7.527999222692e-15 
   46       1.804414462502e-10       1.216602992963e-14       1.584622986524e-13       0.000000000000e+00       6.354202377705e-11       6.789524297899e-12      -7.836996445653e-15 
   47       1.830644897567e-10       1.304946472121e-14       1.401992638343e-13       0.000000000000e+00       6.069665711663e-11       6.515594941010e-12      -8.081026741962e-15 
   48       1.857134032642e-10       1.397163545881e-14       1.203081366306e-13       0.000000000000e+00       5.803182508435e-11       6.259147104599e-12      -8.262636867337e-15 
   49       1.883842656630e-10       1.493270318707e-14       9.874566927062e-14       0.000000000000e+00       5.552530365249e-11       6.016707065699e-12      -8.385927144666e-15 
   50       1.910725605109e-10       1.593276675541e-14       7.547038261586e-14       0.000000000000e+00       5.315187607855e-11       5.784639926002e-12      -8.459250158160e-15 
   51       1.937809857602e-10       1.697193988099e-14       5.045403706445e-14       0.000000000000e+00       5.090712872442e-11       5.562630636890e-12      -8.503942443348e-15 
   52       1.965133694062e-10       1.805028871204e-14       2.367296346046e-14       0.000000000000e+00       4.878895460648e-11       5.351015011044e-12      -8.548132772570e-15 
   53       1.992723221250e-10       1.916780691145e-14      -4.895189089749e-15       0.000000000000e+00       4.679043198817e-11       5.149764858196e-12      -8.624564279491e-15 
   54       2.020591229895e-10       2.032441316082e-14      -3.527146846850e-14       0.000000000000e+00       4.489950025391e-11       4.958461560932e-12      -8.770815097164e-15 
