# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.653363897872e-10       7.721117781505e-15       2.358412449667e-13       6.485047211565e-17       8.506248929373e-11       8.870142765317e-12      -7.006540741851e-15 
   41       1.678123586306e-10       8.384857306947e-15       2.265355319563e-13       6.813897618775e-17       8.085711485876e-11       8.471396889878e-12      -6.522140003102e-15 
   42       1.703114865219e-10       9.084031103184e-15       2.158179365546e-13       7.151032169668e-17       7.692379081211e-11       8.092251538166e-12      -6.481016809971e-15 
   43       1.728367860173e-10       9.819449820747e-15       2.036562294059e-13       7.496455128208e-17       7.325212529223e-11       7.734265248568e-12      -6.747981204996e-15 
   44       1.753878799163e-10       1.059191630663e-14       1.900187088624e-13       7.850170026944e-17       6.981547156802e-11       7.398019464412e-12      -7.152943619601e-15 
   45       1.779625654383e-10       1.140216340614e-14       1.748728070551e-13       8.212179293358e-17       6.658045780309e-11       7.083252927157e-12      -7.527999222692e-15 
   46       1.805628602892e-10       1.225064534394e-14       1.581806609650e-13       8.582483028975e-17       6.354202377705e-11       6.789524297899e-12      -7.836996445653e-15 
   47       1.831901896147e-10       1.313768386627e-14       1.399020369605e-13       8.961079841224e-17       6.069665711663e-11       6.515594941010e-12      -8.081026741962e-15 
   48       1.858434187138e-10       1.406352141374e-14       1.199953282720e-13       9.347967137344e-17       5.803182508435e-11       6.259147104599e-12      -8.262636867337e-15 
   49       1.885186248283e-10       1.502831747954e-14       9.841737481541e-14       9.743141089559e-17       5.552530365249e-11       6.016707065699e-12      -8.385927144666e-15 
   50       1.912112900615e-10       1.603216925739e-14       7.512679091326e-14       1.014659659337e-16       5.315187607855e-11       5.784639926002e-12      -8.459250158160e-15 
   51       1.939241113160e-10       1.707518864193e-14       5.009543133868e-14       1.055832720992e-16       5.090712872442e-11       5.562630636890e-12      -8.503942443348e-15 
   52       1.966609157989e-10       1.815743983414e-14       2.329972615363e-14       1.097832514781e-16       4.878895460648e-11       5.351015011044e-12      -8.548132772570e-15 
   53       1.994243136119e-10       1.927891443871e-14      -5.282569909678e-15       1.140658123419e-16       4.679043198817e-11       5.149764858196e-12      -8.624564279491e-15 
   54       2.022155834761e-10       2.043952896530e-14      -3.567239254758e-14       1.184308487971e-16       4.489950025391e-11       4.958461560932e-12      -8.770815097164e-15 
   55       2.050351901198e-10       2.163918060063e-14      -6.788724671732e-14       1.228782486710e-16       4.310264228933e-11       4.776507976245e-12      -9.017815436023e-15 
