#scalar perturbations for mode k = 1.000000000000e-01 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_idr             17:theta_idr             18:delta_idm_dr          19:theta_idm_dr          20:delta_cdm             21:theta_cdm          
       7.008961077103e-01       1.563939699938e-06      -1.193554307149e+00       2.084903010287e-03       4.003559629573e-09       1.000889907393e-08       1.081155128902e-15       2.001779814786e-09      -8.951657303620e-01       2.084903010287e-03       6.108234988218e-01       7.018552739340e-01      -1.193554307149e+00       2.084446195962e-03       1.950805770137e-04      -1.193554307149e+00       2.084446196218e-03      -8.951657303620e-01       2.084446196895e-03      -8.951657303622e-01       2.085857703733e-03 
       7.008962389492e-01       1.563939993152e-06      -1.193554319479e+00       2.084903420326e-03       4.003561918134e-09       1.000890479533e-08       1.081156152324e-15       2.001780959067e-09      -8.951657396095e-01       2.084903420326e-03       6.108234959267e-01       7.018552709427e-01      -1.193554319479e+00       2.084446605745e-03       1.950806499554e-04      -1.193554319479e+00       2.084446606257e-03      -8.951657396094e-01       2.084446607489e-03      -8.951657396097e-01       2.085858114309e-03 
       7.008963701882e-01       1.563940286366e-06      -1.193554331809e+00       2.084903830365e-03       4.003564206696e-09       1.000891051674e-08       1.081157175746e-15       2.001782103348e-09      -8.951657488569e-01       2.084903830365e-03       6.108234930317e-01       7.018552679514e-01      -1.193554331809e+00       2.084447015527e-03       1.950807228973e-04      -1.193554331809e+00       2.084447016296e-03      -8.951657488568e-01       2.084447017981e-03      -8.951657488573e-01       2.085858524884e-03 
       7.008976825775e-01       1.563943218506e-06      -1.193554455109e+00       2.084907930760e-03       4.003587092364e-09       1.000896773091e-08       1.081167410013e-15       2.001793546182e-09      -8.951658413315e-01       2.084907930760e-03       6.108234640811e-01       7.018552380386e-01      -1.193554455108e+00       2.084451113354e-03       1.950814523160e-04      -1.193554455108e+00       2.084451116692e-03      -8.951658413307e-01       2.084451120644e-03      -8.951658413331e-01       2.085862630638e-03 
       7.008989949669e-01       1.563946150646e-06      -1.193554578407e+00       2.084912031154e-03       4.003609978118e-09       1.000902494530e-08       1.081177644358e-15       2.001804989059e-09      -8.951659338056e-01       2.084912031154e-03       6.108234351307e-01       7.018552081260e-01      -1.193554578406e+00       2.084455211180e-03       1.950821817362e-04      -1.193554578406e+00       2.084455217092e-03      -8.951659338042e-01       2.084455220981e-03      -8.951659338085e-01       2.085866736392e-03 
       7.009003073563e-01       1.563949082786e-06      -1.193554701706e+00       2.084916131548e-03       4.003632863959e-09       1.000908215990e-08       1.081187878780e-15       2.001816431979e-09      -8.951660262792e-01       2.084916131548e-03       6.108234061804e-01       7.018551782135e-01      -1.193554701703e+00       2.084459309006e-03       1.950829111578e-04      -1.193554701703e+00       2.084459317490e-03      -8.951660262772e-01       2.084459321146e-03      -8.951660262833e-01       2.085870842145e-03 
       7.009016197457e-01       1.563952014925e-06      -1.193554825003e+00       2.084920231941e-03       4.003655749885e-09       1.000913937471e-08       1.081198113279e-15       2.001827874943e-09      -8.951661187521e-01       2.084920231941e-03       6.108233772303e-01       7.018551483013e-01      -1.193554824999e+00       2.084463406831e-03       1.950836405809e-04      -1.193554824999e+00       2.084463417888e-03      -8.951661187495e-01       2.084463421506e-03      -8.951661187574e-01       2.085874947898e-03 
       7.009083253250e-01       1.563966996528e-06      -1.193555454969e+00       2.084941182653e-03       4.003772685570e-09       1.000943171392e-08       1.081250407076e-15       2.001886342785e-09      -8.951665912270e-01       2.084941182653e-03       6.108232293142e-01       7.018549954699e-01      -1.193555454962e+00       2.084484344424e-03       1.950873675491e-04      -1.193555454962e+00       2.084484368626e-03      -8.951665912214e-01       2.084484372242e-03      -8.951665912388e-01       2.085895925996e-03 
       7.009150309043e-01       1.563981978132e-06      -1.193556084914e+00       2.084962133345e-03       4.003889623493e-09       1.000972405873e-08       1.081302702887e-15       2.001944811746e-09      -8.951670636852e-01       2.084962133345e-03       6.108230814028e-01       7.018548426441e-01      -1.193556084902e+00       2.084505281995e-03       1.950910945548e-04      -1.193556084902e+00       2.084505319342e-03      -8.951670636765e-01       2.084505323039e-03      -8.951670637034e-01       2.085916904073e-03 
       7.009217364836e-01       1.563996959735e-06      -1.193556714835e+00       2.084983084016e-03       4.004006563654e-09       1.001001640913e-08       1.081355000711e-15       2.002003281827e-09      -8.951675361264e-01       2.084983084016e-03       6.108229334963e-01       7.018546898240e-01      -1.193556714820e+00       2.084526219545e-03       1.950948215979e-04      -1.193556714820e+00       2.084526270038e-03      -8.951675361147e-01       2.084526273721e-03      -8.951675361510e-01       2.085937882131e-03 
