#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_idr             17:theta_idr             18:delta_idm_dr          19:theta_idm_dr          20:delta_cdm             21:theta_cdm          
       7.089410487903e+00       1.600313493768e-05      -1.202613871830e+00       2.100701725007e-04       4.237495158804e-08       1.059373789701e-07       1.202575816398e-13       2.118747579402e-08      -9.019604038729e-01       2.100701725007e-04       6.108327281088e-01       6.995954239641e-01      -1.202613871830e+00       2.100220269013e-04       1.991135373316e-04      -1.202613871830e+00       2.100220269272e-04      -9.019604038728e-01       2.100220270080e-04      -9.019604038730e-01       2.101673182617e-04 
       7.089411786933e+00       1.600313790747e-05      -1.202613885670e+00       2.100702127945e-04       4.237497544012e-08       1.059374386003e-07       1.202576939644e-13       2.118748772006e-08      -9.019604142529e-01       2.100702127945e-04       6.108327252496e-01       6.995954205950e-01      -1.202613885670e+00       2.100220671685e-04       1.991136100770e-04      -1.202613885670e+00       2.100220672202e-04      -9.019604142527e-01       2.100220673818e-04      -9.019604142531e-01       2.101673586086e-04 
       7.089413085964e+00       1.600314087727e-05      -1.202613899511e+00       2.100702530883e-04       4.237499929221e-08       1.059374982305e-07       1.202578062890e-13       2.118749964610e-08      -9.019604246329e-01       2.100702530883e-04       6.108327223903e-01       6.995954172260e-01      -1.202613899510e+00       2.100221074356e-04       1.991136828225e-04      -1.202613899510e+00       2.100221075132e-04      -9.019604246327e-01       2.100221077556e-04      -9.019604246333e-01       2.101673989554e-04 
       7.089426076268e+00       1.600317057520e-05      -1.202614037914e+00       2.100706560266e-04       4.237523781370e-08       1.059380945343e-07       1.202589295406e-13       2.118761890685e-08      -9.019605284356e-01       2.100706560267e-04       6.108326937972e-01       6.995953835347e-01      -1.202614037913e+00       2.100225101077e-04       1.991144102781e-04      -1.202614037913e+00       2.100225104439e-04      -9.019605284348e-01       2.100225114943e-04      -9.019605284372e-01       2.101678024246e-04 
       7.089439066572e+00       1.600320027313e-05      -1.202614176323e+00       2.100710589660e-04       4.237547633629e-08       1.059386908407e-07       1.202600528012e-13       2.118773816815e-08      -9.019606322421e-01       2.100710589660e-04       6.108326652028e-01       6.995953498422e-01      -1.202614176321e+00       2.100229127807e-04       1.991151377350e-04      -1.202614176321e+00       2.100229133756e-04      -9.019606322406e-01       2.100229152337e-04      -9.019606322450e-01       2.101682058947e-04 
       7.089452056877e+00       1.600322997107e-05      -1.202614314736e+00       2.100714619062e-04       4.237571485997e-08       1.059392871499e-07       1.202611760707e-13       2.118785742999e-08      -9.019607360522e-01       2.100714619062e-04       6.108326366071e-01       6.995953161484e-01      -1.202614314734e+00       2.100233154546e-04       1.991158651933e-04      -1.202614314734e+00       2.100233163083e-04      -9.019607360501e-01       2.100233189739e-04      -9.019607360564e-01       2.101686093657e-04 
       7.089465047181e+00       1.600325966900e-05      -1.202614453155e+00       2.100718648474e-04       4.237595338473e-08       1.059398834618e-07       1.202622993492e-13       2.118797669237e-08      -9.019608398660e-01       2.100718648474e-04       6.108326080102e-01       6.995952824535e-01      -1.202614453151e+00       2.100237181294e-04       1.991165926530e-04      -1.202614453151e+00       2.100237192418e-04      -9.019608398633e-01       2.100237227149e-04      -9.019608398714e-01       2.101690128376e-04 
       7.089594950224e+00       1.600355664844e-05      -1.202615837603e+00       2.100758943088e-04       4.237833869203e-08       1.059458467301e-07       1.202735326265e-13       2.118916934602e-08      -9.019618782024e-01       2.100758943088e-04       6.108323219731e-01       6.995949454378e-01      -1.202615837591e+00       2.100277449275e-04       1.991238673268e-04      -1.202615837591e+00       2.100277486280e-04      -9.019618781934e-01       2.100277601652e-04      -9.019618782204e-01       2.101730476070e-04 
       7.089724853268e+00       1.600385362802e-05      -1.202617222533e+00       2.100799238607e-04       4.238072410780e-08       1.059518102695e-07       1.202847667990e-13       2.119036205390e-08      -9.019629168996e-01       2.100799238607e-04       6.108320358126e-01       6.995946083019e-01      -1.202617222513e+00       2.100317718159e-04       1.991311421400e-04      -1.202617222513e+00       2.100317781063e-04      -9.019629168844e-01       2.100317976900e-04      -9.019629169303e-01       2.101770824669e-04 
       7.089854756311e+00       1.600415060774e-05      -1.202618607942e+00       2.100839535028e-04       4.238310963200e-08       1.059577740800e-07       1.202960018668e-13       2.119155481600e-08      -9.019639559567e-01       2.100839535028e-04       6.108317495290e-01       6.995942710463e-01      -1.202618607914e+00       2.100357987945e-04       1.991384170925e-04      -1.202618607914e+00       2.100358076764e-04      -9.019639559352e-01       2.100358352889e-04      -9.019639560000e-01       2.101811174174e-04 
