# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.454900289873e-10       4.137406615688e-15       3.399442928080e-13       0.000000000000e+00       7.890911752588e-09       4.947420853308e-10      -1.820512662092e-12 
    3       1.362748609348e-10       5.228406957909e-15       3.858392934027e-13       0.000000000000e+00       4.910568312354e-09       3.489711198530e-10      -1.366413505381e-12 
    4       1.280123257226e-10       4.439370650656e-15       3.614535514380e-13       0.000000000000e+00       3.423234064992e-09       2.631679216141e-10      -8.805403657498e-13 
    5       1.219123093814e-10       2.904598784984e-15       3.076428823914e-13       0.000000000000e+00       2.556769701653e-09       2.072129699921e-10      -4.758120977446e-13 
    6       1.177146525763e-10       1.601663292269e-15       2.474959759387e-13       0.000000000000e+00       1.996493935811e-09       1.682243837693e-10      -1.822133756133e-13 
    7       1.149954986599e-10       8.703670781964e-16       1.942900485441e-13       0.000000000000e+00       1.610099219082e-09       1.397893867398e-10       3.669175795590e-16 
    8       1.133177927977e-10       5.752807591532e-16       1.537630532873e-13       0.000000000000e+00       1.330978846074e-09       1.182666587993e-10       8.884400898928e-14 
    9       1.124353667578e-10       4.663042272904e-16       1.270549682056e-13       0.000000000000e+00       1.121421976202e-09       1.015259589215e-10       1.083870052996e-13 
   10       1.121896013347e-10       3.943341384689e-16       1.126049991649e-13       0.000000000000e+00       9.590175509740e-10       8.828027090368e-11       8.613512661948e-14 
   11       1.123536193963e-10       3.297422652290e-16       1.076907544662e-13       0.000000000000e+00       8.094020273161e-10       7.789563672649e-11       4.666479435545e-14 
   12       1.128797268244e-10       2.896309912410e-16       1.093846838529e-13       0.000000000000e+00       7.074128569006e-10       6.898612418271e-11       7.365159015760e-15 
   13       1.136721377462e-10       2.813444444841e-16       1.150146109577e-13       0.000000000000e+00       6.236464912584e-10       6.139762107634e-11      -2.109333993475e-14 
   14       1.146690510755e-10       2.950304065294e-16       1.225824943739e-13       0.000000000000e+00       5.539290056416e-10       5.508004377001e-11      -3.476211600987e-14 
   15       1.158722586993e-10       3.204930067929e-16       1.308266459714e-13       0.000000000000e+00       4.952345398083e-10       4.974309790216e-11      -3.527630880903e-14 
   16       1.171900102505e-10       3.574207954937e-16       1.392518265778e-13       0.000000000000e+00       4.453151266301e-10       4.505148146252e-11      -2.737644447333e-14 
   17       1.186843389712e-10       4.115521097306e-16       1.477531990578e-13       0.000000000000e+00       4.024792618920e-10       4.098212797449e-11      -1.619839523947e-14 
   18       1.202551599889e-10       4.870113094819e-16       1.564584615493e-13       0.000000000000e+00       3.652911310693e-10       3.740774976553e-11      -6.496830170517e-15 
   19       1.219098288098e-10       5.834758983875e-16       1.655819665322e-13       0.000000000000e+00       3.331636366322e-10       3.429431216129e-11      -5.328439767521e-16 
   20       1.236540010002e-10       6.986627107531e-16       1.753065777874e-13       0.000000000000e+00       3.048625434285e-10       3.157257555120e-11       5.116212380380e-16 
   21       1.254809478833e-10       8.322670805591e-16       1.855288184131e-13       0.000000000000e+00       2.799450360406e-10       2.918157829471e-11      -2.393678400902e-15 
   22       1.273510420680e-10       9.843142705583e-16       1.959758020988e-13       0.000000000000e+00       2.578161463724e-10       2.702707308467e-11      -7.143303686632e-15 
   23       1.292792274897e-10       1.154786951212e-15       2.063194908966e-13       0.000000000000e+00       2.381724988730e-10       2.509982922012e-11      -1.191036860018e-14 
   24       1.312751168363e-10       1.343614272624e-15       2.161684857718e-13       0.000000000000e+00       2.205609517462e-10       2.338832510245e-11      -1.493480552504e-14 
   25       1.333365829997e-10       1.551580198630e-15       2.252089860613e-13       0.000000000000e+00       2.047750480703e-10       2.184765453661e-11      -1.579670137556e-14 
   26       1.354419023001e-10       1.779862245705e-15       2.331780149570e-13       0.000000000000e+00       1.905299027725e-10       2.041304794787e-11      -1.467730508997e-14 
   27       1.375846434375e-10       2.030165299066e-15       2.400757692371e-13       0.000000000000e+00       1.776556433672e-10       1.908862913066e-11      -1.233536635072e-14 
   28       1.397542050840e-10       2.304375701309e-15       2.459971539244e-13       0.000000000000e+00       1.659313741448e-10       1.788961267372e-11      -9.779957006265e-15 
   29       1.419596966990e-10       2.603932165274e-15       2.509671800713e-13       0.000000000000e+00       1.552972924754e-10       1.681336734885e-11      -7.583506365305e-15 
   30       1.442049282225e-10       2.930151563430e-15       2.550068994229e-13       0.000000000000e+00       1.456389497993e-10       1.583964936900e-11      -6.265672686135e-15 
   31       1.464833405171e-10       3.284277092165e-15       2.581450864872e-13       0.000000000000e+00       1.367591555364e-10       1.493927128294e-11      -6.264239961184e-15 
   32       1.487991183660e-10       3.667173404799e-15       2.603610536663e-13       0.000000000000e+00       1.286123173305e-10       1.410635613423e-11      -7.263607097016e-15 
   33       1.511513185091e-10       4.079501279805e-15       2.616208022212e-13       0.000000000000e+00       1.211413185000e-10       1.333643689915e-11      -8.597591006274e-15 
