#scalar perturbations for mode k = 1.000000000000e-01 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_idr             17:theta_idr             18:delta_idm_dr          19:theta_idm_dr          20:delta_cdm             21:theta_cdm          
       7.008961076782e-01       1.563939699867e-06      -1.193554307149e+00       2.084903010192e-03       4.018256406700e-09       1.004564101675e-08       1.089107554911e-15       2.009128203350e-09      -8.951657303620e-01       2.084903010192e-03       6.108234889009e-01       7.018552739339e-01      -1.193554307149e+00       2.084446195867e-03       1.950805769958e-04      -1.193554307149e+00       2.084446196123e-03      -8.951657303620e-01       2.084446196923e-03      -8.951657303621e-01       2.085857703638e-03 
       7.008962389172e-01       1.563939993081e-06      -1.193554319480e+00       2.084903420233e-03       4.018258703666e-09       1.004564675917e-08       1.089108585861e-15       2.009129351833e-09      -8.951657396103e-01       2.084903420233e-03       6.108234860055e-01       7.018552709424e-01      -1.193554319480e+00       2.084446605652e-03       1.950806499376e-04      -1.193554319480e+00       2.084446606164e-03      -8.951657396102e-01       2.084446607762e-03      -8.951657396106e-01       2.085858114215e-03 
       7.008963701561e-01       1.563940286295e-06      -1.193554331812e+00       2.084903830275e-03       4.018261000635e-09       1.004565250159e-08       1.089109616813e-15       2.009130500317e-09      -8.951657488591e-01       2.084903830275e-03       6.108234831101e-01       7.018552679507e-01      -1.193554331812e+00       2.084447015437e-03       1.950807228794e-04      -1.193554331812e+00       2.084447016205e-03      -8.951657488589e-01       2.084447018600e-03      -8.951657488594e-01       2.085858524794e-03 
       7.008976825455e-01       1.563943218434e-06      -1.193554455161e+00       2.084907930757e-03       4.018283970481e-09       1.004570992620e-08       1.089119926403e-15       2.009141985241e-09      -8.951658413710e-01       2.084907930757e-03       6.108234541470e-01       7.018552380254e-01      -1.193554455160e+00       2.084451113351e-03       1.950814522982e-04      -1.193554455160e+00       2.084451116681e-03      -8.951658413702e-01       2.084451126948e-03      -8.951658413726e-01       2.085862630635e-03 
       7.008989949348e-01       1.563946150574e-06      -1.193554578570e+00       2.084912031343e-03       4.018306940616e-09       1.004576735154e-08       1.089130236126e-15       2.009153470308e-09      -8.951659339274e-01       2.084912031343e-03       6.108234251691e-01       7.018552080854e-01      -1.193554578568e+00       2.084455211370e-03       1.950821817184e-04      -1.193554578568e+00       2.084455217263e-03      -8.951659339260e-01       2.084455235232e-03      -8.951659339302e-01       2.085866736581e-03 
       7.009003073242e-01       1.563949082714e-06      -1.193554702037e+00       2.084916132032e-03       4.018329911037e-09       1.004582477759e-08       1.089140545981e-15       2.009164955518e-09      -8.951660265274e-01       2.084916132032e-03       6.108233961766e-01       7.018551781308e-01      -1.193554702034e+00       2.084459309491e-03       1.950829111400e-04      -1.193554702034e+00       2.084459317948e-03      -8.951660265255e-01       2.084459343454e-03      -8.951660265316e-01       2.085870842629e-03 
       7.009016197136e-01       1.563952014854e-06      -1.193554825560e+00       2.084920232821e-03       4.018352881739e-09       1.004588220435e-08       1.089150855967e-15       2.009176440869e-09      -8.951661191703e-01       2.084920232821e-03       6.108233671699e-01       7.018551481619e-01      -1.193554825557e+00       2.084463407712e-03       1.950836405630e-04      -1.193554825557e+00       2.084463418736e-03      -8.951661191677e-01       2.084463451614e-03      -8.951661191757e-01       2.085874948778e-03 
       7.009147436072e-01       1.563981336253e-06      -1.193556063530e+00       2.084961245533e-03       4.018582602864e-09       1.004645650716e-08       1.089253962635e-15       2.009291301432e-09      -8.951670476473e-01       2.084961245533e-03       6.108230764174e-01       7.018548477904e-01      -1.193556063518e+00       2.084504394746e-03       1.950909348724e-04      -1.193556063518e+00       2.084504431510e-03      -8.951670476387e-01       2.084504530244e-03      -8.951670476652e-01       2.085916015088e-03 
       7.009278675009e-01       1.564010657653e-06      -1.193557305991e+00       2.085002266177e-03       4.018812348038e-09       1.004703087009e-08       1.089357081260e-15       2.009406174019e-09      -8.951679794930e-01       2.085002266177e-03       6.108227845387e-01       7.018545462962e-01      -1.193557305971e+00       2.084545389710e-03       1.950982293251e-04      -1.193557305971e+00       2.084545452340e-03      -8.951679794784e-01       2.084545603973e-03      -8.951679795234e-01       2.085957089332e-03 
       7.009409913945e-01       1.564039979055e-06      -1.193558552089e+00       2.085043293258e-03       4.019042114380e-09       1.004760528595e-08       1.089460211060e-15       2.009521057190e-09      -8.951689140666e-01       2.085043293258e-03       6.108224917474e-01       7.018542438929e-01      -1.193558552061e+00       2.084586391110e-03       1.951055239212e-04      -1.193558552061e+00       2.084586479708e-03      -8.951689140460e-01       2.084586673701e-03      -8.951689141096e-01       2.085998170015e-03 
       7.009541152882e-01       1.564069300458e-06      -1.193559801084e+00       2.085084325479e-03       4.019271899395e-09       1.004817974849e-08       1.089563351361e-15       2.009635949698e-09      -8.951698508127e-01       2.085084325479e-03       6.108221982286e-01       7.018539407656e-01      -1.193559801048e+00       2.084627397651e-03       1.951128186608e-04      -1.193559801048e+00       2.084627512298e-03      -8.951698507861e-01       2.084627740206e-03      -8.951698508682e-01       2.086039255841e-03 
