# Matter power spectrum P(k) at redshift z=0
# for k=1.00001e-05 to 4.14854 h/Mpc,
# number of wavenumbers equal to 613
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.000014628367e-05       5.427237957758e+01 
       2.233020982332e-05       1.179277409527e+02 
       3.470000496007e-05       1.805281208999e+02 
       4.714002180369e-05       2.427031148750e+02 
       5.968121284029e-05       3.048097580308e+02 
       7.235524590529e-05       3.671146069416e+02 
       8.519476459508e-05       4.298447020363e+02 
       9.823365931215e-05       4.932083216047e+02 
       1.115073521638e-04       5.574055677181e+02 
       1.250530989643e-04       6.226346739776e+02 
       1.389103116049e-04       6.890963338023e+02 
       1.531209040385e-04       7.569969926269e+02 
       1.677296650346e-04       8.265516265843e+02 
       1.827846606662e-04       8.979862216566e+02 
       1.983376691241e-04       9.715401235124e+02 
       2.144446498507e-04       1.047468373278e+03 
       2.311662480390e-04       1.126043957474e+03 
       2.485683341343e-04       1.207560177658e+03 
       2.667225759398e-04       1.292332910087e+03 
       2.857070380781e-04       1.380703075464e+03 
       3.056067996586e-04       1.473038784718e+03 
       3.265145758002e-04       1.569737416674e+03 
       3.485313218803e-04       1.671227806426e+03 
       3.717667907999e-04       1.777971572031e+03 
       3.963400030075e-04       1.890464006965e+03 
       4.223795765777e-04       2.009234346346e+03 
       4.500238506617e-04       2.134844519422e+03 
       4.794207210590e-04       2.267886863860e+03 
       5.107270931850e-04       2.408979376857e+03 
       5.441078480025e-04       2.558759131255e+03 
       5.797342143543e-04       2.717872448037e+03 
       6.177814513570e-04       2.886962657938e+03 
       6.584257723828e-04       3.066653861065e+03 
       7.018404922567e-04       3.257531561837e+03 
       7.481914537656e-04       3.460121825402e+03 
       7.976318857728e-04       3.674866949956e+03 
       8.502969536432e-04       3.902101465231e+03 
       9.062983661093e-04       4.142029971806e+03 
       9.657194779169e-04       4.394707427575e+03 
       1.028611350382e-03       4.660025883019e+03 
       1.094990184720e-03       4.937707853320e+03 
       1.164836422475e-03       5.227308427452e+03 
       1.238095629269e-03       5.528225974887e+03 
       1.314681074721e-03       5.839716341072e+03 
       1.382846361722e-03       6.114302456628e+03 
       1.394477733525e-03       6.160909142115e+03 
       1.477347296462e-03       6.490884259149e+03 
       1.563133717248e-03       6.828645535328e+03 
       1.651668833302e-03       7.173167825184e+03 
       1.742777670672e-03       7.523423536153e+03 
       1.836283150526e-03       7.878404174072e+03 
       1.932010031024e-03       8.237138190359e+03 
       2.029788023743e-03       8.598704097339e+03 
       2.129454106107e-03       8.962240017981e+03 
       2.230854106646e-03       9.326948304381e+03 
       2.333843670243e-03       9.692099068322e+03 
       2.438288720947e-03       1.005702858626e+04 
       2.544065536513e-03       1.042113798516e+04 
       2.651060537050e-03       1.078389187228e+04 
       2.759169874488e-03       1.114481114552e+04 
       2.868298892956e-03       1.150347169483e+04 
       2.978361514566e-03       1.185949875637e+04 
       3.089279591417e-03       1.221256238152e+04 
       3.200982253245e-03       1.256237359083e+04 
       3.313405271116e-03       1.290868070010e+04 
       3.426490450479e-03       1.325126418244e+04 
       3.540185061671e-03       1.358993585092e+04 
       3.654441312095e-03       1.392453239922e+04 
       3.769215861595e-03       1.425491639466e+04 
       3.884469380650e-03       1.458096928988e+04 
       4.000166149815e-03       1.490259364585e+04 
       4.116273698077e-03       1.521970883386e+04 
       4.232762477369e-03       1.553224738729e+04 
       4.349605570309e-03       1.584015739997e+04 
       4.466778428219e-03       1.614339769920e+04 
       4.584258636555e-03       1.644193552875e+04 
       4.702025705026e-03       1.673575488576e+04 
       4.820060879867e-03       1.702483828405e+04 
       4.938346975949e-03       1.730918037817e+04 
       5.056868226593e-03       1.758874445258e+04 
       5.175610149180e-03       1.786357874983e+04 
       5.294559424819e-03       1.813369450922e+04 
       5.413703790543e-03       1.839908529031e+04 
       5.533031942651e-03       1.865986297519e+04 
       5.652533449960e-03       1.891595760547e+04 
       5.772198675891e-03       1.916741037653e+04 
       5.892018708413e-03       1.941424412017e+04 
       6.011985296986e-03       1.965648621931e+04 
       6.132090795748e-03       1.989417185848e+04 
       6.252328112271e-03       2.012733383405e+04 
       6.372690661284e-03       2.035601531999e+04 
       6.493172322841e-03       2.058024983214e+04 
       6.613767404460e-03       2.080008471030e+04 
       6.734470606823e-03       2.101555051686e+04 
       6.855276992653e-03       2.122668073083e+04 
       6.976181958467e-03       2.143353681860e+04 
       7.097181208882e-03       2.163614245614e+04 
       7.218270733240e-03       2.183455949875e+04 
       7.339446784308e-03       2.202881344300e+04 
       7.460705858852e-03       2.221895079652e+04 
       7.582044679899e-03       2.240497589868e+04 
       7.703460180524e-03       2.258700739047e+04 
       7.824949489023e-03       2.276507892967e+04 
       7.946509915322e-03       2.293916700303e+04 
       8.068138938533e-03       2.310936197020e+04 
       8.189834195519e-03       2.327570250472e+04 
       8.311593470406e-03       2.343821549535e+04 
       8.433414684930e-03       2.359697189572e+04 
       8.555295889563e-03       2.375196897228e+04 
       8.677235255338e-03       2.390330745799e+04 
       8.799231066308e-03       2.405096481249e+04 
       8.921281712603e-03       2.419504033656e+04 
       9.043385684009e-03       2.433553336605e+04 
       9.165541564041e-03       2.447250573903e+04 
       9.287748024460e-03       2.460596120954e+04 
       9.410003820205e-03       2.473599294490e+04 
       9.532307784696e-03       2.486262720043e+04 
       9.654658825485e-03       2.498589962578e+04 
