# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.456008608475e-10       4.103820381085e-15       3.392023285268e-13       0.000000000000e+00       7.906181811286e-09       4.948781679626e-10      -1.809238696215e-12 
    3       1.363671875083e-10       5.175678441598e-15       3.839993115226e-13       0.000000000000e+00       4.897481398852e-09       3.494122727285e-10      -1.358687510897e-12 
    4       1.280880025193e-10       4.391252206298e-15       3.596846706380e-13       0.000000000000e+00       3.417289577387e-09       2.635746163359e-10      -8.749630690149e-13 
    5       1.219773663547e-10       2.871949516261e-15       3.061513140891e-13       0.000000000000e+00       2.554783588325e-09       2.075542366576e-10      -4.723681482421e-13 
    6       1.177734493289e-10       1.583713016668e-15       2.463544903931e-13       0.000000000000e+00       1.996966579232e-09       1.685287151892e-10      -1.805633470061e-13 
    7       1.150496222429e-10       8.614088697502e-16       1.934913261101e-13       0.000000000000e+00       1.610965929948e-09       1.400501711560e-10       7.705047192119e-16 
    8       1.133659585864e-10       5.701193895473e-16       1.532646522111e-13       0.000000000000e+00       1.330741857640e-09       1.184707955618e-10       8.854848904312e-14 
    9       1.124774926779e-10       4.624485245419e-16       1.267867593562e-13       0.000000000000e+00       1.120116541694e-09       1.016789446034e-10       1.078387244998e-13 
   10       1.122286773757e-10       3.912411898096e-16       1.124921927682e-13       0.000000000000e+00       9.576029174894e-10       8.840547764781e-11       8.562984091676e-14 
   11       1.123869032314e-10       3.274146771461e-16       1.076888133552e-13       0.000000000000e+00       8.098956800665e-10       7.800687201627e-11       4.634751932948e-14 
   12       1.129109267756e-10       2.879519652878e-16       1.094267482950e-13       0.000000000000e+00       7.078768605660e-10       6.909777472464e-11       7.279379961489e-15 
   13       1.137021730507e-10       2.801566151568e-16       1.150669612270e-13       0.000000000000e+00       6.240837419181e-10       6.150109995739e-11      -2.098580823887e-14 
   14       1.146940634445e-10       2.942750493158e-16       1.226786634188e-13       0.000000000000e+00       5.543414822608e-10       5.517602613481e-11      -3.451706503385e-14 
   15       1.158963651183e-10       3.201784247529e-16       1.309827730744e-13       0.000000000000e+00       4.956243799696e-10       4.984143258231e-11      -3.495583128543e-14 
   16       1.172143047009e-10       3.576772268141e-16       1.394117404484e-13       0.000000000000e+00       4.456843792714e-10       4.514267667747e-11      -2.708451535258e-14 
   17       1.187039223351e-10       4.124942925069e-16       1.479707574179e-13       0.000000000000e+00       4.028295866210e-10       4.106567663227e-11      -1.602123454429e-14 
   18       1.202742451413e-10       4.884814509085e-16       1.567387727268e-13       0.000000000000e+00       3.656244732555e-10       3.748494586626e-11      -6.480861112211e-15 
   19       1.219317851893e-10       5.853463664661e-16       1.659033587693e-13       0.000000000000e+00       3.334802864361e-10       3.436609602697e-11      -6.605296532607e-16 
   20       1.236767319368e-10       7.009637736388e-16       1.756506923555e-13       0.000000000000e+00       3.051639614532e-10       3.164007319401e-11       3.318728498085e-16 
   21       1.255033800864e-10       8.350298163339e-16       1.858897121752e-13       0.000000000000e+00       2.802326607516e-10       2.924377114103e-11      -2.526340807071e-15 
   22       1.273750492105e-10       9.875541423696e-16       1.963615047121e-13       0.000000000000e+00       2.580907950669e-10       2.708087756527e-11      -7.157825202534e-15 
   23       1.293058258204e-10       1.158706844312e-15       2.067296648768e-13       0.000000000000e+00       2.384349503231e-10       2.514678763978e-11      -1.179851501555e-14 
   24       1.313032998106e-10       1.348591109398e-15       2.165911083756e-13       0.000000000000e+00       2.208119946026e-10       2.343552705161e-11      -1.476134622352e-14 
   25       1.333653019809e-10       1.557619162920e-15       2.256502497772e-13       0.000000000000e+00       2.050154674878e-10       2.189705272849e-11      -1.563387017412e-14 
   26       1.354708619382e-10       1.786518306769e-15       2.336637562797e-13       0.000000000000e+00       1.907603757640e-10       2.045900943851e-11      -1.457640079941e-14 
   27       1.376146169154e-10       2.037356262663e-15       2.405957204668e-13       0.000000000000e+00       1.778767786663e-10       1.912848945341e-11      -1.230789133574e-14 
   28       1.397870264134e-10       2.312592056628e-15       2.464962159442e-13       0.000000000000e+00       1.661436694445e-10       1.792649723222e-11      -9.793900847089e-15 
   29       1.419970599759e-10       2.613638704605e-15       2.514180593936e-13       0.000000000000e+00       1.555012582168e-10       1.685006157710e-11      -7.605425233584e-15 
   30       1.442478755730e-10       2.941554392160e-15       2.554429438584e-13       0.000000000000e+00       1.458350791955e-10       1.587622356205e-11      -6.276678552322e-15 
   31       1.465322007224e-10       3.297318701432e-15       2.586507257774e-13       0.000000000000e+00       1.369478650627e-10       1.497317983461e-11      -6.261665591936e-15 
   32       1.488540463366e-10       3.681803690579e-15       2.609698240753e-13       0.000000000000e+00       1.287940206792e-10       1.413583044670e-11      -7.249902142540e-15 
   33       1.512124527064e-10       4.095776720251e-15       2.622692693486e-13       0.000000000000e+00       1.213164039451e-10       1.336184954366e-11      -8.577397215478e-15 
   34       1.535989216539e-10       4.539975103973e-15       2.624081221452e-13       0.000000000000e+00       1.144109340514e-10       1.264450197307e-11      -9.550151119355e-15 
   35       1.560129451201e-10       5.015371347185e-15       2.612795967088e-13       0.000000000000e+00       1.080423872103e-10       1.198221213943e-11      -1.000489004956e-14 
   36       1.584500855735e-10       5.522994898386e-15       2.587807407770e-13       0.000000000000e+00       1.021596695300e-10       1.137142720360e-11      -9.940081508313e-15 
