#scalar perturbations for mode k = 1.000000000000e-03 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_idr             17:theta_idr             18:delta_idm_dr          19:theta_idm_dr          20:delta_cdm             21:theta_cdm          
       7.880086553384e+01       2.008611516327e-04      -1.330908168864e+00       2.324804166219e-05       7.911566946300e-07       1.977891736575e-06       3.813199872821e-11       3.955783473150e-07      -9.981811266481e-01       2.324804166219e-05       5.995026666832e-01       6.675722972186e-01      -1.330908168864e+00       2.324008405900e-05       2.394715477029e-04      -1.330908168864e+00       2.324008406184e-05      -9.981811266480e-01       2.324008407044e-05      -9.981811266482e-01       2.325884081624e-05 
       7.880087737905e+01       2.008611856219e-04      -1.330908170018e+00       2.324804482310e-05       7.911570692832e-07       1.977892673208e-06       3.813202971198e-11       3.955785346416e-07      -9.981811275134e-01       2.324804482310e-05       5.995026686051e-01       6.675722970220e-01      -1.330908170018e+00       2.324008721621e-05       2.394716211020e-04      -1.330908170018e+00       2.324008722188e-05      -9.981811275132e-01       2.324008723908e-05      -9.981811275137e-01       2.325884398171e-05 
       7.880088922426e+01       2.008612196110e-04      -1.330908171172e+00       2.324804798400e-05       7.911574439365e-07       1.977893609841e-06       3.813206069576e-11       3.955787219683e-07      -9.981811283788e-01       2.324804798401e-05       5.995026705270e-01       6.675722968253e-01      -1.330908171171e+00       2.324009037342e-05       2.394716945011e-04      -1.330908171171e+00       2.324009038193e-05      -9.981811283785e-01       2.324009040772e-05      -9.981811283791e-01       2.325884714718e-05 
       7.880100767635e+01       2.008615595029e-04      -1.330908182710e+00       2.324807959307e-05       7.911611904767e-07       1.977902976192e-06       3.813237053474e-11       3.955805952384e-07      -9.981811370326e-01       2.324807959311e-05       5.995026897458e-01       6.675722948587e-01      -1.330908182708e+00       2.324012194550e-05       2.394724284929e-04      -1.330908182708e+00       2.324012198238e-05      -9.981811370314e-01       2.324012209416e-05      -9.981811370342e-01       2.325887880187e-05 
       7.880112612845e+01       2.008618993948e-04      -1.330908194249e+00       2.324811120214e-05       7.911649370294e-07       1.977912342573e-06       3.813268037580e-11       3.955824685147e-07      -9.981811456869e-01       2.324811120222e-05       5.995027089645e-01       6.675722928918e-01      -1.330908194246e+00       2.324015351759e-05       2.394731624857e-04      -1.330908194246e+00       2.324015358284e-05      -9.981811456848e-01       2.324015378060e-05      -9.981811456899e-01       2.325891045657e-05 
       7.880124458054e+01       2.008622392869e-04      -1.330908205789e+00       2.324814281122e-05       7.911686835944e-07       1.977921708986e-06       3.813299021892e-11       3.955843417972e-07      -9.981811543418e-01       2.324814281133e-05       5.995027281831e-01       6.675722909248e-01      -1.330908205785e+00       2.324018508969e-05       2.394738964795e-04      -1.330908205785e+00       2.324018518330e-05      -9.981811543387e-01       2.324018546704e-05      -9.981811543460e-01       2.325894211128e-05 
       7.880136303264e+01       2.008625791790e-04      -1.330908217329e+00       2.324817442029e-05       7.911724301718e-07       1.977931075429e-06       3.813330006411e-11       3.955862150859e-07      -9.981811629971e-01       2.324817442044e-05       5.995027474015e-01       6.675722889576e-01      -1.330908217324e+00       2.324021666178e-05       2.394746304743e-04      -1.330908217324e+00       2.324021678376e-05      -9.981811629930e-01       2.324021715348e-05      -9.981811630026e-01       2.325897376598e-05 
       7.880254755358e+01       2.008659781069e-04      -1.330908332765e+00       2.324849051119e-05       7.912098966252e-07       1.978024741563e-06       3.813639862972e-11       3.956049483126e-07      -9.981812495739e-01       2.324849051168e-05       5.995029395802e-01       6.675722692781e-01      -1.330908332747e+00       2.324053238287e-05       2.394819704770e-04      -1.330908332747e+00       2.324053278851e-05      -9.981812495604e-01       2.324053401807e-05      -9.981812495922e-01       2.325929031318e-05 
       7.880373207453e+01       2.008693770463e-04      -1.330908448260e+00       2.324880660232e-05       7.912473643144e-07       1.978118410786e-06       3.813949740204e-11       3.956236821572e-07      -9.981813361946e-01       2.324880660316e-05       5.995031317480e-01       6.675722495840e-01      -1.330908448229e+00       2.324084810417e-05       2.394893105793e-04      -1.330908448229e+00       2.324084879349e-05      -9.981813361717e-01       2.324085088289e-05      -9.981813362257e-01       2.325960686062e-05 
       7.880491659548e+01       2.008727759970e-04      -1.330908563812e+00       2.324912269369e-05       7.912848332394e-07       1.978212083098e-06       3.814259638110e-11       3.956424166197e-07      -9.981814228592e-01       2.324912269487e-05       5.995033239051e-01       6.675722298754e-01      -1.330908563769e+00       2.324116382569e-05       2.394966507813e-04      -1.330908563769e+00       2.324116479870e-05      -9.981814228269e-01       2.324116774794e-05      -9.981814229031e-01       2.325992340830e-05 
       7.880610111643e+01       2.008761749592e-04      -1.330908679423e+00       2.324943878529e-05       7.913223034002e-07       1.978305758501e-06       3.814569556690e-11       3.956611517001e-07      -9.981815095676e-01       2.324943878681e-05       5.995035160514e-01       6.675722101524e-01      -1.330908679368e+00       2.324147954744e-05       2.395039910829e-04      -1.330908679368e+00       2.324148080413e-05      -9.981815095258e-01       2.324148461323e-05      -9.981815096243e-01       2.326023995623e-05 
       7.881539837686e+01       2.009028536822e-04      -1.330909588877e+00       2.325191978437e-05       7.916164482066e-07       1.979041120516e-06       3.817002814106e-11       3.958082241033e-07      -9.981821916581e-01       2.325191978860e-05       5.995050238275e-01       6.675720548447e-01      -1.330909588723e+00       2.324395764311e-05       2.395616082949e-04      -1.330909588723e+00       2.324396112682e-05      -9.981821915424e-01       2.324397168507e-05      -9.981821918152e-01       2.326272453749e-05 
       7.882469563729e+01       2.009295331087e-04      -1.330910501920e+00       2.325440079757e-05       7.919106691681e-07       1.979776672920e-06       3.819437345890e-11       3.959553345841e-07      -9.981828764399e-01       2.325440080450e-05       5.995065309427e-01       6.675718986477e-01      -1.330910501667e+00       2.324643575214e-05       2.396192316455e-04      -1.330910501667e+00       2.324644146340e-05      -9.981828762503e-01       2.324645877119e-05      -9.981828766975e-01       2.326520913363e-05 
