# Matter power spectrum P(k) at redshift z=0
# for k=9.99427e-06 to 4.14551 h/Mpc,
# number of wavenumbers equal to 613
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.994266526544e-06       5.436154457287e+01 
       2.231706605539e-05       1.181213572883e+02 
       3.467952712444e-05       1.808242381881e+02 
       4.711208579580e-05       2.431006345513e+02 
       5.964563914926e-05       3.053079804166e+02 
       7.231179750599e-05       3.677130935294e+02 
       8.514314406060e-05       4.305431920952e+02 
       9.817350510305e-05       4.940066953538e+02 
       1.114382340378e-04       5.583038110460e+02 
       1.249745124362e-04       6.236328608737e+02 
       1.388216713744e-04       6.901946022758e+02 
       1.530215362894e-04       7.581955386090e+02 
       1.676187984984e-04       8.278506688300e+02 
       1.826614163317e-04       8.993860126764e+02 
       1.982010484685e-04       9.730408967878e+02 
       2.142935214638e-04       1.049070324950e+03 
       2.309993325181e-04       1.127747271553e+03 
       2.483841871421e-04       1.209364926418e+03 
       2.665195693478e-04       1.294239117920e+03 
       2.854833391719e-04       1.382710582385e+03 
       3.053603484602e-04       1.475147272634e+03 
       3.262430606825e-04       1.571946534767e+03 
       3.482321538181e-04       1.673536793607e+03 
       3.714370768278e-04       1.780379527181e+03 
       3.959765197565e-04       1.892969829617e+03 
       4.219787451380e-04       2.011836519644e+03 
       4.495817144764e-04       2.137541460207e+03 
       4.789329290730e-04       2.270676640912e+03 
       5.101888910197e-04       2.411860085943e+03 
       5.435140804429e-04       2.561728673609e+03 
       5.790793428027e-04       2.720929135194e+03 
       6.170595899992e-04       2.890104953312e+03 
       6.576307464478e-04       3.069880853034e+03 
       7.009659207547e-04       3.260843808368e+03 
       7.472308573439e-04       3.463520802116e+03 
       7.965788178177e-04       3.678356208192e+03 
       8.491451496707e-04       3.905686994697e+03 
       9.050419032324e-04       4.145720561162e+03 
       9.643529333887e-04       4.398514650456e+03 
       1.027129946585e-03       4.663965041196e+03 
       1.093389908105e-03       4.941797577385e+03 
       1.163114106101e-03       5.231570456042e+03 
       1.236248992468e-03       5.532685073458e+03 
       1.312708718386e-03       5.844401774670e+03 
       1.381837331894e-03       6.123510126781e+03 
       1.392379094468e-03       6.165848232764e+03 
       1.475122568367e-03       6.496107630855e+03 
       1.560783748221e-03       6.834183764208e+03 
       1.649195010731e-03       7.179051442289e+03 
       1.740181803266e-03       7.529682352381e+03 
       1.833567355522e-03       7.885066442167e+03 
       1.929176632176e-03       8.244230637894e+03 
       2.026839463385e-03       8.606251230445e+03 
       2.126392872543e-03       8.970264215865e+03 
       2.227682676653e-03       9.335469675379e+03 
       2.330564465436e-03       9.701135324873e+03 
       2.434904076243e-03       1.006659544799e+04 
       2.540577678703e-03       1.043124831494e+04 
       2.647471571521e-03       1.079455714845e+04 
       2.755481778301e-03       1.115604075422e+04 
       2.864513512735e-03       1.151527387154e+04 
       2.974480567900e-03       1.187188026362e+04 
       3.085304670724e-03       1.222553009076e+04 
       3.196914831296e-03       1.257593308744e+04 
       3.309246707569e-03       1.292283454118e+04 
       3.422241998970e-03       1.326601343014e+04 
       3.535847877107e-03       1.360528034894e+04 
       3.650016457917e-03       1.394047131377e+04 
       3.764704316830e-03       1.427144644104e+04 
       3.879872046656e-03       1.459808916325e+04 
       3.995483856642e-03       1.492029905954e+04 
       4.111507210414e-03       1.523799679943e+04 
       4.227912500064e-03       1.555111387953e+04 
       4.344672753458e-03       1.585959760056e+04 
       4.461763371850e-03       1.616340655185e+04 
       4.579161894908e-03       1.646250813213e+04 
       4.696847790466e-03       1.675688421985e+04 
       4.814802266456e-03       1.704651904961e+04 
       4.933008102693e-03       1.733140674333e+04 
       5.051449500395e-03       1.761151317251e+04 
       5.170111947528e-03       1.788687880360e+04 
       5.288982098225e-03       1.815752194008e+04 
       5.408047664765e-03       1.842343172810e+04 
       5.527297320702e-03       1.868472238818e+04 
       5.646720613947e-03       1.894132372221e+04 
       5.766307888675e-03       1.919327854358e+04 
       5.886050215127e-03       1.944060562059e+04 
       6.005939326414e-03       1.968333412186e+04 
       6.125967561582e-03       1.992150088651e+04 
       6.246127814253e-03       2.015513790085e+04 
       6.366413486255e-03       2.038428672371e+04 
       6.486818445690e-03       2.060898170778e+04 
       6.607336988999e-03       2.082926997626e+04 
       6.727963806579e-03       2.104517979923e+04 
       6.848693951601e-03       2.125675471529e+04 
       6.969522811694e-03       2.146404544980e+04 
       7.090446083203e-03       2.166707842851e+04 
       7.211459747755e-03       2.186591846442e+04 
       7.332560050922e-03       2.206058493835e+04 
       7.453743482744e-03       2.225113051682e+04 
       7.575006759960e-03       2.243755955443e+04 
       7.696346809762e-03       2.261998906038e+04 
