# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.456013270133e-10       4.104044807624e-15       3.392023245849e-13       2.244264976625e-19       7.906181811286e-09       4.948781679626e-10      -1.809238696215e-12 
    3       1.363681176843e-10       5.176127388078e-15       3.839992939515e-13       4.489460746567e-19       4.897481398852e-09       3.494122727285e-10      -1.358687510897e-12 
    4       1.280895480791e-10       4.392000656774e-15       3.596846201352e-13       7.484484834895e-19       3.417289577387e-09       2.635746163359e-10      -8.749630690149e-13 
    5       1.219796759536e-10       2.873072575905e-15       3.061511989980e-13       1.123052824399e-18       2.554783588325e-09       2.075542366576e-10      -4.723681482421e-13 
    6       1.177766683537e-10       1.585285939035e-15       2.463542639921e-13       1.572903785568e-18       1.996966579232e-09       1.685287151892e-10      -1.805633470061e-13 
    7       1.150538923419e-10       8.635070819707e-16       1.934909241308e-13       2.098169037800e-18       1.610965929948e-09       1.400501711560e-10       7.705047192119e-16 
    8       1.133714172879e-10       5.728185149837e-16       1.532639906183e-13       2.699036285560e-18       1.330741857640e-09       1.184707955618e-10       8.854848904312e-14 
    9       1.124842731055e-10       4.658244024229e-16       1.267857324132e-13       3.375710060614e-18       1.120116541694e-09       1.016789446034e-10       1.078387244998e-13 
   10       1.122369080617e-10       3.953698913641e-16       1.124906714011e-13       4.128408350543e-18       9.576029174894e-10       8.840547764781e-11       8.562984091676e-14 
   11       1.123967080299e-10       3.323725177591e-16       1.076866438247e-13       4.957359157361e-18       8.098956800665e-10       7.800687201627e-11       4.634751932948e-14 
   12       1.129224248710e-10       2.938155122219e-16       1.094237511732e-13       5.862797081020e-18       7.078768605660e-10       6.909777472464e-11       7.279379961489e-15 
   13       1.137154790557e-10       2.870026904265e-16       1.150629306732e-13       6.844960018958e-18       6.240837419181e-10       6.150109995739e-11      -2.098580823887e-14 
   14       1.147092875780e-10       3.021807273567e-16       1.226733667400e-13       7.904086066096e-18       5.543414822608e-10       5.517602613481e-11      -3.451706503385e-14 
   15       1.159136134516e-10       3.292210246069e-16       1.309759505517e-13       9.040410690147e-18       4.956243799696e-10       4.984143258231e-11      -3.495583128543e-14 
   16       1.172336794585e-10       3.679342986458e-16       1.394031054083e-13       1.025416424516e-17       4.456843792714e-10       4.514267667747e-11      -2.708451535258e-14 
   17       1.187255222356e-10       4.240435983776e-16       1.479599965240e-13       1.154556987224e-17       4.028295866210e-10       4.106567663227e-11      -1.602123454429e-14 
   18       1.202981657688e-10       5.014009399827e-16       1.567255464785e-13       1.291484165421e-17       3.656244732555e-10       3.748494586626e-11      -6.480861112211e-15 
   19       1.219581193377e-10       5.997141440766e-16       1.658873021244e-13       1.436218421076e-17       3.334802864361e-10       3.436609602697e-11      -6.605296532607e-16 
