#scalar perturbations for mode k = 1.000000000000e-03 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_idr             17:theta_idr             18:delta_idm_dr          19:theta_idm_dr          20:delta_cdm             21:theta_cdm          
       7.880086553384e+01       2.008611516327e-04      -1.330908168864e+00       2.324804166219e-05       7.911566946300e-07       1.977891736575e-06       3.813199872821e-11       3.955783473150e-07      -9.981811266481e-01       2.324804166219e-05       5.995026666832e-01       6.675722972186e-01      -1.330908168864e+00       2.324008405900e-05       2.394715477029e-04      -1.330908168864e+00       2.324008406184e-05      -9.981811266480e-01       2.324008407044e-05      -9.981811266482e-01       2.325884081624e-05 
       7.880087737905e+01       2.008611856219e-04      -1.330908170018e+00       2.324804482310e-05       7.911570692832e-07       1.977892673208e-06       3.813202971198e-11       3.955785346416e-07      -9.981811275134e-01       2.324804482310e-05       5.995026686051e-01       6.675722970220e-01      -1.330908170018e+00       2.324008721621e-05       2.394716211020e-04      -1.330908170018e+00       2.324008722188e-05      -9.981811275132e-01       2.324008723908e-05      -9.981811275137e-01       2.325884398171e-05 
       7.880088922426e+01       2.008612196110e-04      -1.330908171172e+00       2.324804798400e-05       7.911574439365e-07       1.977893609841e-06       3.813206069576e-11       3.955787219683e-07      -9.981811283788e-01       2.324804798401e-05       5.995026705270e-01       6.675722968253e-01      -1.330908171171e+00       2.324009037342e-05       2.394716945011e-04      -1.330908171171e+00       2.324009038193e-05      -9.981811283785e-01       2.324009040772e-05      -9.981811283792e-01       2.325884714718e-05 
       7.880100767635e+01       2.008615595029e-04      -1.330908182710e+00       2.324807959307e-05       7.911611904768e-07       1.977902976192e-06       3.813237053475e-11       3.955805952384e-07      -9.981811370327e-01       2.324807959312e-05       5.995026897458e-01       6.675722948586e-01      -1.330908182709e+00       2.324012194551e-05       2.394724284929e-04      -1.330908182709e+00       2.324012198238e-05      -9.981811370315e-01       2.324012209416e-05      -9.981811370344e-01       2.325887880188e-05 
       7.880112612845e+01       2.008618993948e-04      -1.330908194250e+00       2.324811120215e-05       7.911649370297e-07       1.977912342574e-06       3.813268037582e-11       3.955824685149e-07      -9.981811456874e-01       2.324811120223e-05       5.995027089644e-01       6.675722928917e-01      -1.330908194247e+00       2.324015351760e-05       2.394731624857e-04      -1.330908194247e+00       2.324015358285e-05      -9.981811456852e-01       2.324015378061e-05      -9.981811456903e-01       2.325891045658e-05 
       7.880124458054e+01       2.008622392869e-04      -1.330908205790e+00       2.324814281124e-05       7.911686835951e-07       1.977921708988e-06       3.813299021896e-11       3.955843417975e-07      -9.981811543427e-01       2.324814281135e-05       5.995027281828e-01       6.675722909245e-01      -1.330908205786e+00       2.324018508971e-05       2.394738964795e-04      -1.330908205786e+00       2.324018518332e-05      -9.981811543396e-01       2.324018546706e-05      -9.981811543469e-01       2.325894211130e-05 
       7.880136303264e+01       2.008625791790e-04      -1.330908217331e+00       2.324817442033e-05       7.911724301730e-07       1.977931075432e-06       3.813330006417e-11       3.955862150865e-07      -9.981811629986e-01       2.324817442048e-05       5.995027474010e-01       6.675722889571e-01      -1.330908217326e+00       2.324021666182e-05       2.394746304743e-04      -1.330908217326e+00       2.324021678379e-05      -9.981811629945e-01       2.324021715352e-05      -9.981811630041e-01       2.325897376602e-05 
       7.880254755358e+01       2.008659781069e-04      -1.330908332787e+00       2.324849051158e-05       7.912098966385e-07       1.978024741596e-06       3.813639863036e-11       3.956049483193e-07      -9.981812495906e-01       2.324849051207e-05       5.995029395746e-01       6.675722692725e-01      -1.330908332769e+00       2.324053238326e-05       2.394819704770e-04      -1.330908332769e+00       2.324053278891e-05      -9.981812495771e-01       2.324053401845e-05      -9.981812496089e-01       2.325929031357e-05 
       7.880373207453e+01       2.008693770463e-04      -1.330908448324e+00       2.324880660345e-05       7.912473643529e-07       1.978118410882e-06       3.813949740390e-11       3.956236821764e-07      -9.981813362428e-01       2.324880660428e-05       5.995031317319e-01       6.675722495679e-01      -1.330908448293e+00       2.324084810529e-05       2.394893105793e-04      -1.330908448293e+00       2.324084879464e-05      -9.981813362199e-01       2.324085088399e-05      -9.981813362739e-01       2.325960686174e-05 
       7.880491659548e+01       2.008727759970e-04      -1.330908563940e+00       2.324912269593e-05       7.912848333161e-07       1.978212083290e-06       3.814259638480e-11       3.956424166580e-07      -9.981814229551e-01       2.324912269711e-05       5.995033238731e-01       6.675722298435e-01      -1.330908563897e+00       2.324116382793e-05       2.394966507813e-04      -1.330908563897e+00       2.324116480099e-05      -9.981814229228e-01       2.324116775013e-05      -9.981814229990e-01       2.325992341054e-05 
       7.880610111643e+01       2.008761749592e-04      -1.330908679637e+00       2.324943878902e-05       7.913223035282e-07       1.978305758820e-06       3.814569557307e-11       3.956611517641e-07      -9.981815097275e-01       2.324943879054e-05       5.995035159980e-01       6.675722100991e-01      -1.330908679581e+00       2.324147955117e-05       2.395039910829e-04      -1.330908679581e+00       2.324148080796e-05      -9.981815096858e-01       2.324148461688e-05      -9.981815097842e-01       2.326023995997e-05 
       7.881539837686e+01       2.009028536822e-04      -1.330909590515e+00       2.325191981303e-05       7.916164491892e-07       1.979041122973e-06       3.817002818844e-11       3.958082245946e-07      -9.981821928860e-01       2.325191981725e-05       5.995050234177e-01       6.675720544354e-01      -1.330909590360e+00       2.324395767177e-05       2.395616082950e-04      -1.330909590360e+00       2.324396115621e-05      -9.981821927704e-01       2.324397171314e-05      -9.981821930431e-01       2.326272456615e-05 
       7.882469563729e+01       2.009295331087e-04      -1.330910506317e+00       2.325440087454e-05       7.919106718078e-07       1.979776679520e-06       3.819437358621e-11       3.959553359039e-07      -9.981828797375e-01       2.325440088147e-05       5.995065298424e-01       6.675718975485e-01      -1.330910506064e+00       2.324643582910e-05       2.396192316457e-04      -1.330910506064e+00       2.324644154234e-05      -9.981828795480e-01       2.324645884658e-05      -9.981828799951e-01       2.326520921059e-05 
