#scalar perturbations for mode k = 1.000000000000e+00 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_idr             17:theta_idr             18:delta_idm_dr          19:theta_idm_dr          20:delta_cdm             21:theta_cdm          
       7.004557183581e-02       1.561124688532e-07      -1.192568291848e+00       2.084216252359e-02       4.002641278196e-10       1.000660319549e-09       1.080973308171e-17       2.001320639098e-10      -8.944262188862e-01       2.084216252359e-02       6.108372401860e-01       7.021015278978e-01      -1.192568291637e+00       2.083761130094e-02       1.948806251868e-04      -1.192568291637e+00       2.083761811385e-02      -8.944262187277e-01       2.083761811422e-02      -8.944262192188e-01       2.085170717826e-02 
       7.005552457322e-02       1.561346541793e-07      -1.192577555444e+00       2.084527504191e-02       4.004376911507e-10       1.001094227877e-09       1.081749433813e-17       2.002188455754e-10      -8.944331665829e-01       2.084527504191e-02       6.108350358577e-01       7.020992811496e-01      -1.192577555172e+00       2.084072187882e-02       1.949359278204e-04      -1.192577555172e+00       2.084073063748e-02      -8.944331663792e-01       2.084073063785e-02      -8.944331670105e-01       2.085482376550e-02 
       7.007592137685e-02       1.561801200407e-07      -1.192596524951e+00       2.085165359876e-02       4.007935401559e-10       1.001983850390e-09       1.083341385497e-17       2.003967700780e-10      -8.944473937136e-01       2.085165359876e-02       6.108305215478e-01       7.020946805200e-01      -1.192596524556e+00       2.084709645728e-02       1.950492889483e-04      -1.192596524556e+00       2.084710920520e-02      -8.944473934172e-01       2.084710920557e-02      -8.944473943361e-01       2.086121066466e-02 
       7.009631818047e-02       1.562255859081e-07      -1.192615474424e+00       2.085803197871e-02       4.011495964849e-10       1.002873991212e-09       1.084935201633e-17       2.005747982425e-10      -8.944616058179e-01       2.085803197871e-02       6.108260114688e-01       7.020900849426e-01      -1.192615473904e+00       2.085347085652e-02       1.951626847272e-04      -1.192615473905e+00       2.085348759603e-02      -8.944616054288e-01       2.085348759640e-02      -8.944616066354e-01       2.086759739177e-02 
       7.011671498410e-02       1.562710517816e-07      -1.192634403945e+00       2.086441018298e-02       4.015058602188e-10       1.003764650547e-09       1.086530883911e-17       2.007529301094e-10      -8.944758029590e-01       2.086441018298e-02       6.108215056034e-01       7.020854943963e-01      -1.192634403302e+00       2.085984507776e-02       1.952761151561e-04      -1.192634403303e+00       2.085986581119e-02      -8.944758024773e-01       2.085986581156e-02      -8.944758039717e-01       2.087398394806e-02 
       7.013711178772e-02       1.563165176608e-07      -1.192653313456e+00       2.087078821012e-02       4.018623313843e-10       1.004655828461e-09       1.088128433870e-17       2.009311656922e-10      -8.944899850917e-01       2.087078821012e-02       6.108170039657e-01       7.020809088962e-01      -1.192653312688e+00       2.086621911956e-02       1.953895802338e-04      -1.192653312690e+00       2.086624384923e-02      -8.944899845173e-01       2.086624384959e-02      -8.944899862998e-01       2.088037033206e-02 
       7.015750859135e-02       1.563619835455e-07      -1.192672202878e+00       2.087716605836e-02       4.022190100018e-10       1.005547525004e-09       1.089727853028e-17       2.011095050009e-10      -8.945041521586e-01       2.087716605836e-02       6.108125065734e-01       7.020763284614e-01      -1.192672201986e+00       2.087259298015e-02       1.955030799596e-04      -1.192672201989e+00       2.087262170838e-02      -8.945041514914e-01       2.087262170874e-02      -8.945041535621e-01       2.088675654204e-02 
       7.023880493452e-02       1.565431987574e-07      -1.192747290291e+00       2.090258469071e-02       4.036426997163e-10       1.009106749291e-09       1.096121323526e-17       2.018213498581e-10      -8.945604677185e-01       2.090258469071e-02       6.107946236286e-01       7.020581226983e-01      -1.192747288902e+00       2.089799569575e-02       1.959558045242e-04      -1.192747288909e+00       2.089804038429e-02      -8.945604666819e-01       2.089804038466e-02      -8.945604699030e-01       2.091220855037e-02 
       7.032010127769e-02       1.567244140271e-07      -1.192822054107e+00       2.092800037106e-02       4.050696872260e-10       1.012674218065e-09       1.102544610527e-17       2.025348436130e-10      -8.946165405801e-01       2.092800037106e-02       6.107768091846e-01       7.020399985233e-01      -1.192822052220e+00       2.092339542251e-02       1.964090794296e-04      -1.192822052232e+00       2.092345610836e-02      -8.946165391741e-01       2.092345610873e-02      -8.946165435484e-01       2.093765768400e-02 
       7.040139762086e-02       1.569056293395e-07      -1.192896492402e+00       2.095341304188e-02       4.064999748877e-10       1.016249937219e-09       1.108997813650e-17       2.032499874438e-10      -8.946723693014e-01       2.095341304188e-02       6.107590637230e-01       7.020219564172e-01      -1.192896490015e+00       2.094879210286e-02       1.968629046098e-04      -1.192896490035e+00       2.094886882303e-02      -8.946723675260e-01       2.094886882340e-02      -8.946723730562e-01       2.096310388547e-02 
       7.048269396403e-02       1.570868446855e-07      -1.192970604800e+00       2.097882267422e-02       4.079335656354e-10       1.019833914089e-09       1.115481034384e-17       2.039667828177e-10      -8.947279536004e-01       2.097882267422e-02       6.107413873876e-01       7.020039964738e-01      -1.192970601912e+00       2.097418570782e-02       1.973172799973e-04      -1.192970601941e+00       2.097427849937e-02      -8.947279514555e-01       2.097427849975e-02      -8.947279581443e-01       2.098854712593e-02 
       7.056399030719e-02       1.572680600627e-07      -1.193044392488e+00       2.100422926818e-02       4.093704629954e-10       1.023426157489e-09       1.121994376145e-17       2.046852314977e-10      -8.947832943658e-01       2.100422926818e-02       6.107237799802e-01       7.019861183967e-01      -1.193044389095e+00       2.099957623742e-02       1.977722055248e-04      -1.193044389135e+00       2.099968513747e-02      -8.947832918515e-01       2.099968513785e-02      -8.947832997017e-01       2.101398740556e-02 
       7.064528665036e-02       1.574492754750e-07      -1.193117858222e+00       2.102963285325e-02       4.108106711007e-10       1.027026677752e-09       1.128537944343e-17       2.054053355503e-10      -8.948383936664e-01       2.102963285325e-02       6.107062409579e-01       7.019683214964e-01      -1.193117854324e+00       2.102496372112e-02       1.982276811249e-04      -1.193117854377e+00       2.102508876683e-02      -8.948383907827e-01       2.102508876721e-02      -8.948383997970e-01       2.103942475395e-02 
       7.087355975981e-02       1.579581130006e-07      -1.193322465635e+00       2.110094846071e-02       4.148723939145e-10       1.037180984786e-09       1.147074242324e-17       2.074361969573e-10      -8.949918492264e-01       2.110094846071e-02       6.106573495539e-01       7.019187725230e-01      -1.193322460310e+00       2.109623391907e-02       1.995095574806e-04      -1.193322460407e+00       2.109640449942e-02      -8.949918453054e-01       2.109640449981e-02      -8.949918576031e-01       2.111083558178e-02 
       7.110183286925e-02       1.584669511241e-07      -1.193524666989e+00       2.117224217839e-02       4.189603642784e-10       1.047400910696e-09       1.165852100683e-17       2.094801821392e-10      -8.951435002421e-01       2.117224217839e-02       6.106089701195e-01       7.018698304900e-01      -1.193524660222e+00       2.116748193408e-02       2.007957688994e-04      -1.193524660378e+00       2.116769834339e-02      -8.951434952839e-01       2.116769834378e-02      -8.951435108867e-01       2.118222513470e-02 
       7.133010597870e-02       1.589757895888e-07      -1.193724437681e+00       2.124351308660e-02       4.230746415136e-10       1.057686603784e-09       1.184873790734e-17       2.115373207568e-10      -8.952933282609e-01       2.124351308660e-02       6.105611092743e-01       7.018215015466e-01      -1.193724429458e+00       2.123870684546e-02       2.020863139890e-04      -1.193724429687e+00       2.123896937904e-02      -8.952933222655e-01       2.123896937943e-02      -8.952933411953e-01       2.125359249502e-02 
       7.155837908814e-02       1.594846283621e-07      -1.193921807331e+00       2.131476128361e-02       4.272153059875e-10       1.068038264969e-09       1.204141659606e-17       2.136076529937e-10      -8.954413554979e-01       2.131476128361e-02       6.105137617536e-01       7.017737782860e-01      -1.193921797637e+00       2.130990875051e-02       2.033811913406e-04      -1.193921797954e+00       2.131021770465e-02      -8.954413484653e-01       2.131021770506e-02      -8.954413707443e-01       2.132493776297e-02 
       7.178665219759e-02       1.599934677101e-07      -1.194116877722e+00       2.138598824030e-02       4.313824673549e-10       1.078456168387e-09       1.223658156897e-17       2.156912336774e-10      -8.955876582913e-01       2.138598824030e-02       6.104669064735e-01       7.017266352605e-01      -1.194116866544e+00       2.138108911911e-02       2.046803995728e-04      -1.194116866962e+00       2.138144479113e-02      -8.955876502215e-01       2.138144479154e-02      -8.955876758718e-01       2.139626241143e-02 
       7.201492530703e-02       1.605023075009e-07      -1.194309653263e+00       2.145719360294e-02       4.355761968103e-10       1.088940492026e-09       1.243425633471e-17       2.177880984051e-10      -8.957322399470e-01       2.145719360294e-02       6.104205436069e-01       7.016800713665e-01      -1.194309640587e+00       2.145224759654e-02       2.059839373369e-04      -1.194309641120e+00       2.145265028473e-02      -8.957322308401e-01       2.145265028514e-02      -8.957322598841e-01       2.146756608864e-02 
       7.270567144342e-02       1.620420405890e-07      -1.194879286031e+00       2.167252782009e-02       4.484289233571e-10       1.121072308393e-09       1.304794568758e-17       2.242144616786e-10      -8.961594645230e-01       2.167252782009e-02       6.102832007228e-01       7.015426284595e-01      -1.194879268734e+00       2.166743812085e-02       2.099547535349e-04      -1.194879269704e+00       2.166798490540e-02      -8.961594522779e-01       2.166798490584e-02      -8.961594917285e-01       2.168320161589e-02 
       7.339641757980e-02       1.635817775323e-07      -1.195429131519e+00       2.188767207200e-02       4.615279874160e-10       1.153819968540e-09       1.368551058188e-17       2.307639937080e-10      -8.965718486393e-01       2.188767207200e-02       6.101501375291e-01       7.014101819308e-01      -1.195429109467e+00       2.188243592297e-02       2.139651640447e-04      -1.195429111008e+00       2.188312957189e-02      -8.965718332563e-01       2.188312957235e-02      -8.965718833234e-01       2.189865295354e-02 
       7.408716371619e-02       1.651215183405e-07      -1.195960093981e+00       2.210263263863e-02       4.748757116148e-10       1.187189279037e-09       1.434763833573e-17       2.374378558074e-10      -8.969700704860e-01       2.210263263863e-02       6.100211827763e-01       7.012825056742e-01      -1.195960067039e+00       2.209724725551e-02       2.180151334814e-04      -1.195960069287e+00       2.209809056435e-02      -8.969700519655e-01       2.209809056483e-02      -8.969701128628e-01       2.211392643639e-02 
       7.477790985257e-02       1.666612630443e-07      -1.196473035051e+00       2.231741563283e-02       4.884744209275e-10       1.221186052319e-09       1.503502937302e-17       2.442372104638e-10      -8.973547762886e-01       2.231741563283e-02       6.098961722929e-01       7.011593842395e-01      -1.196473003079e+00       2.231187820402e-02       2.221046275112e-04      -1.196473006174e+00       2.231287399583e-02      -8.973547546308e-01       2.231287399633e-02      -8.973548265763e-01       2.232902823216e-02 
       7.546865598896e-02       1.682010116899e-07      -1.196968774672e+00       2.253202697977e-02       5.023264420885e-10       1.255816105221e-09       1.574839733372e-17       2.511632210443e-10      -8.977265810041e-01       2.253202697977e-02       6.097749489273e-01       7.010406126008e-01      -1.196968737529e+00       2.252633466637e-02       2.262336129134e-04      -1.196968741612e+00       2.252748579170e-02      -8.977265562094e-01       2.252748579222e-02      -8.977266394251e-01       2.254396432085e-02 
       7.615940212535e-02       1.697407642523e-07      -1.197448073970e+00       2.274647203429e-02       5.164340942319e-10       1.291085235580e-09       1.648846888612e-17       2.582170471159e-10      -8.980860554773e-01       2.274647203429e-02       6.096573664561e-01       7.009260004376e-01      -1.197448031511e+00       2.274062197014e-02       2.304020575403e-04      -1.197448036728e+00       2.274193130700e-02      -8.980860275459e-01       2.274193130755e-02      -8.980861222578e-01       2.275874011216e-02 
       7.733273927396e-02       1.723562764065e-07      -1.198226538571e+00       2.311037196532e-02       5.409905311050e-10       1.352476327762e-09       1.780889553175e-17       2.704952655525e-10      -8.986699039285e-01       2.311037196532e-02       6.094655974014e-01       7.007403518917e-01      -1.198226486747e+00       2.310424729124e-02       2.375731475230e-04      -1.198226494226e+00       2.310583204849e-02      -8.986698706697e-01       2.310583204907e-02      -8.986699854396e-01       2.312321574565e-02 
       7.850607642258e-02       1.749717999177e-07      -1.198962989616e+00       2.347383166728e-02       5.663026538433e-10       1.415756634608e-09       1.921223243349e-17       2.831513269216e-10      -8.992222422120e-01       2.347383166728e-02       6.092832803583e-01       7.005653489740e-01      -1.198962927990e+00       2.346742390118e-02       2.448578573402e-04      -1.198962938169e+00       2.346929259671e-02      -8.992222036269e-01       2.346929259733e-02      -8.992223391396e-01       2.348726887529e-02 
       7.967941357120e-02       1.775873343956e-07      -1.199660388084e+00       2.383687198148e-02       5.923817946820e-10       1.480954486705e-09       2.070230948294e-17       2.961908973410e-10      -8.997452910627e-01       2.383687198148e-02       6.091098360236e-01       7.004002512714e-01      -1.199660316206e+00       2.383017250805e-02       2.522560472485e-04      -1.199660329536e+00       2.383233379400e-02      -8.997452471522e-01       2.383233379467e-02      -8.997454041135e-01       2.385092061116e-02 
       8.085275071982e-02       1.802028802830e-07      -1.200321626251e+00       2.419951603362e-02       6.192393829156e-10       1.548098457289e-09       2.228307603926e-17       3.096196914578e-10      -9.002412196879e-01       2.419951603362e-02       6.089446897981e-01       7.002443355554e-01      -1.200321543658e+00       2.419251610448e-02       2.597675843361e-04      -1.200321560604e+00       2.419497876710e-02      -9.002411704532e-01       2.419497876783e-02      -9.002413495902e-01       2.421419434772e-02 
       8.202608786843e-02       1.828184373163e-07      -1.200949212829e+00       2.456178230882e-02       6.468867632527e-10       1.617216908132e-09       2.395859608802e-17       3.234433816263e-10      -9.007119096220e-01       2.456178230882e-02       6.087873419422e-01       7.000969744965e-01      -1.200949119045e+00       2.455447304268e-02       2.673923420770e-04      -1.200949140085e+00       2.455724600219e-02      -9.007118550641e-01       2.455724600297e-02      -9.007120571253e-01       2.457710883881e-02 
       8.319942501705e-02       1.854340053921e-07      -1.201545485413e+00       2.492368871539e-02       6.753352963955e-10       1.688338240989e-09       2.573305354600e-17       3.376676481978e-10      -9.011591140596e-01       2.492368871540e-02       6.086373223256e-01       6.999575835523e-01      -1.201545379945e+00       2.491606109819e-02       2.751301997044e-04      -1.201545405573e+00       2.491915340868e-02      -9.011590541797e-01       2.491915340951e-02      -9.011592799356e-01       2.493968226143e-02 
       8.437276216567e-02       1.880495848672e-07      -1.202112689744e+00       2.528525407683e-02       7.045964028055e-10       1.761491007014e-09       2.761075588407e-17       3.522982014027e-10      -9.015845173083e-01       2.528525407683e-02       6.084941740722e-01       6.998256011499e-01      -1.202112572089e+00       2.527729896189e-02       2.829810419816e-04      -1.202112602810e+00       2.528071981121e-02      -9.015844521075e-01       2.528071981210e-02      -9.015847023507e-01       2.530193370777e-02 
       8.645824544319e-02       1.926985296394e-07      -1.203055088840e+00       2.592710339642e-02       7.586458549205e-10       1.896614637301e-09       3.121684496438e-17       3.793229274603e-10      -9.022913166303e-01       2.592710339642e-02       6.082554758192e-01       6.996078018521e-01      -1.203054948230e+00       2.591854320062e-02       2.972136243212e-04      -1.203054989300e+00       2.592257108598e-02      -9.022912419754e-01       2.592257108697e-02      -9.022915377686e-01       2.594505037290e-02 
       8.854372872070e-02       1.973475096584e-07      -1.203921780193e+00       2.656800440048e-02       8.153620041590e-10       2.038405010398e-09       3.518899688381e-17       4.076810020795e-10      -9.029413351451e-01       2.656800440048e-02       6.080351661253e-01       6.994093753446e-01      -1.203921614904e+00       2.655880906685e-02       3.118022131535e-04      -1.203921668054e+00       2.656347418300e-02      -9.029412510403e-01       2.656347418411e-02      -9.029415950873e-01       2.658728132057e-02 
       9.062921199822e-02       2.019965250380e-07      -1.204721520717e+00       2.720803107585e-02       8.748086970103e-10       2.187021742526e-09       3.955432750732e-17       4.374043485052e-10      -9.035411405380e-01       2.720803107585e-02       6.078314096374e-01       6.992281317663e-01      -1.204721328941e+00       2.719816980564e-02       3.267462689854e-04      -1.204721395984e+00       2.720350309394e-02      -9.035410469878e-01       2.720350309518e-02      -9.035414421243e-01       2.722870204573e-02 
       9.271469527574e-02       2.066455758512e-07      -1.205461948033e+00       2.784724971971e-02       9.370497721539e-10       2.342624430385e-09       4.434125689676e-17       4.685248860770e-10      -9.040964610247e-01       2.784724971972e-02       6.076425834913e-01       6.990621611273e-01      -1.205461727873e+00       2.783669097355e-02       3.420452901294e-04      -1.205461810712e+00       2.784272412830e-02      -9.040963580339e-01       2.784272412970e-02      -9.040968072304e-01       2.786938035351e-02 
       9.480017855326e-02       2.112946620750e-07      -1.206149734583e+00       2.848571966107e-02       1.002149051574e-09       2.505372628934e-09       4.957953937908e-17       5.010745257868e-10      -9.046123009374e-01       2.848571966108e-02       6.074672506281e-01       6.989097947759e-01      -1.206149484056e+00       2.847443115997e-02       3.576988089074e-04      -1.206149584682e+00       2.848119663730e-02      -9.046121885113e-01       2.848119663889e-02      -9.046126948765e-01       2.850937708063e-02 
