# Matter power spectrum P(k) at redshift z=0
# for k=9.99427e-06 to 4.14551 h/Mpc,
# number of wavenumbers equal to 613
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.259326425781e-02       2.710608228000e+04 
       1.271651916908e-02       2.715783306297e+04 
       1.283980986481e-02       2.720711723798e+04 
       1.296313635962e-02       2.725399869312e+04 
       1.308649869248e-02       2.729845828861e+04 
       1.320989692622e-02       2.734054237830e+04 
       1.333333114707e-02       2.738035938674e+04 
       1.345680146420e-02       2.741782103883e+04 
       1.358030800940e-02       2.745311183316e+04 
       1.370385093666e-02       2.748598113835e+04 
       1.381837331894e-02       2.751456004157e+04 
       1.382743042188e-02       2.751681116830e+04 
       1.395104666260e-02       2.754536832304e+04 
       1.407469987773e-02       2.757167001669e+04 
       1.419839030733e-02       2.759603629620e+04 
       1.432211821242e-02       2.761820931176e+04 
       1.444588387479e-02       2.763822251416e+04 
       1.456968759690e-02       2.765625186510e+04 
       1.469352970172e-02       2.767229577590e+04 
       1.481741053265e-02       2.768632897499e+04 
       1.494133045346e-02       2.769848253803e+04 
       1.506528984823e-02       2.770849911978e+04 
       1.518928912135e-02       2.771675654139e+04 
       1.531332869746e-02       2.772309081079e+04 
       1.543740902153e-02       2.772764284571e+04 
       1.556153055885e-02       2.773027462851e+04 
       1.568569379510e-02       2.773101691374e+04 
       1.580989923642e-02       2.773005349657e+04 
       1.593414740953e-02       2.772734568915e+04 
       1.605843886177e-02       2.772289120810e+04 
       1.618277416132e-02       2.771674929257e+04 
       1.630715389727e-02       2.770890271269e+04 
       1.643157867980e-02       2.769938552492e+04 
       1.655604914041e-02       2.768823904296e+04 
       1.668056593204e-02       2.767557790480e+04 
       1.680512972934e-02       2.766114787488e+04 
       1.692974122887e-02       2.764526550794e+04 
       1.705440114936e-02       2.762780599557e+04 
       1.717911023196e-02       2.760882270214e+04 
       1.730386924054e-02       2.758836677085e+04 
       1.742867896196e-02       2.756645578294e+04 
       1.755354020640e-02       2.754305871942e+04 
       1.767845380768e-02       2.751824394501e+04 
       1.780342062360e-02       2.749208843177e+04 
       1.792844153633e-02       2.746440299469e+04 
       1.805351745273e-02       2.743544095192e+04 
       1.817864930481e-02       2.740512409619e+04 
       1.830383805010e-02       2.737347578522e+04 
       1.842908467207e-02       2.734057402565e+04 
       1.855439018064e-02       2.730633350420e+04 
       1.867975561256e-02       2.727090896623e+04 
       1.880518203194e-02       2.723421327139e+04 
       1.893067053076e-02       2.719629595068e+04 
       1.905622222936e-02       2.715719504448e+04 
       1.918183827697e-02       2.711694417251e+04 
       1.930751985230e-02       2.707549871840e+04 
       1.943326816410e-02       2.703295111370e+04 
       1.955908445174e-02       2.698923177962e+04 
       1.968496998586e-02       2.694447607462e+04 
       1.981092606897e-02       2.689863482818e+04 
       1.993695403614e-02       2.685173205779e+04 
       2.006305525565e-02       2.680374869899e+04 
       2.018923112972e-02       2.675486840572e+04 
       2.031548309522e-02       2.670486792058e+04 
       2.044181262441e-02       2.665393733076e+04 
       2.056822122574e-02       2.660202675484e+04 
       2.069471044463e-02       2.654920618944e+04 
       2.082128186429e-02       2.649552001109e+04 
       2.094793710656e-02       2.644074129454e+04 
       2.107467783283e-02       2.638511711696e+04 
       2.120150574489e-02       2.632873588938e+04 
       2.132842258588e-02       2.627146771257e+04 
       2.145543014129e-02       2.621330704435e+04 
       2.158253023988e-02       2.615435282952e+04 
       2.170972475477e-02       2.609458539631e+04 
       2.183701560445e-02       2.603401805259e+04 
       2.196440475389e-02       2.597272965547e+04 
       2.209189421566e-02       2.591060611175e+04 
       2.221948605108e-02       2.584782144868e+04 
       2.234718237143e-02       2.578433668566e+04 
       2.247498533917e-02       2.572005896998e+04 
       2.260289716920e-02       2.565511446166e+04 
       2.273092013022e-02       2.558949075217e+04 
       2.285905654601e-02       2.552326611766e+04 
       2.298730879691e-02       2.545637391293e+04 
       2.311567932118e-02       2.538881621833e+04 
       2.324417061656e-02       2.532066747844e+04 
       2.337278524176e-02       2.525191327435e+04 
       2.350152581806e-02       2.518257960684e+04 
       2.363039503097e-02       2.511268389269e+04 
       2.375939563188e-02       2.504223039736e+04 
       2.388853043984e-02       2.497123069978e+04 
       2.401780234335e-02       2.489972524975e+04 
       2.414721430223e-02       2.482766327375e+04 
       2.427676934957e-02       2.475509963067e+04 
       2.440647059367e-02       2.468206261668e+04 
       2.453632122015e-02       2.460855812809e+04 
       2.466632449404e-02       2.453462364133e+04 
       2.479648376202e-02       2.446019014649e+04 
       2.492680245466e-02       2.438536796659e+04 
       2.505728408881e-02       2.431011704789e+04 
       2.518793227000e-02       2.423437963158e+04 
       2.531875069501e-02       2.415829197092e+04 
       2.544974315443e-02       2.408184144530e+04 
       2.558091353540e-02       2.400502174857e+04 
       2.571226582440e-02       2.392784947739e+04 
       2.584380411013e-02       2.385020019805e+04 
       2.597553258655e-02       2.377236109345e+04 
       2.610745555596e-02       2.369413982614e+04 
       2.623957743226e-02       2.361561793681e+04 
       2.637190274426e-02       2.353685830105e+04 
       2.650443613917e-02       2.345763803249e+04 
       2.663718238621e-02       2.337822349910e+04 
       2.677014638031e-02       2.329856410483e+04 
       2.690333314602e-02       2.321861730554e+04 
       2.703674784152e-02       2.313842605982e+04 
       2.717039576279e-02       2.305793903178e+04 
       2.730428234797e-02       2.297725626472e+04 
       2.743841318183e-02       2.289636574165e+04 
       2.757279400052e-02       2.281522989311e+04 
       2.770743069637e-02       2.273393588084e+04 
       2.784232932301e-02       2.265247353844e+04 
       2.797749610060e-02       2.257073569727e+04 
       2.811293742137e-02       2.248893839049e+04 
       2.824865985525e-02       2.240682145079e+04 
       2.838467015587e-02       2.232461881249e+04 
       2.852097526674e-02       2.224221904528e+04 
       2.865758232769e-02       2.215981269831e+04 
       2.879449868158e-02       2.207714470497e+04 
       2.893173188134e-02       2.199438691851e+04 
       2.906928969726e-02       2.191149849508e+04 
       2.920718012461e-02       2.182850237523e+04 
       2.934541139161e-02       2.174540022024e+04 
       2.948399196773e-02       2.166225797526e+04 
       2.962293057240e-02       2.157897522562e+04 
       2.976223618403e-02       2.149561194621e+04 
       2.990191804953e-02       2.141217008032e+04 
       3.004198569423e-02       2.132858255372e+04 
       3.018244893222e-02       2.124503506553e+04 
       3.032331787721e-02       2.116137147745e+04 
       3.046460295392e-02       2.107767047328e+04 
       3.060631490998e-02       2.099394269258e+04 
       3.074846482837e-02       2.091014000336e+04 
       3.089106414054e-02       2.082638854620e+04 
       3.103412464010e-02       2.074248057633e+04 
       3.117765849722e-02       2.065862693889e+04 
       3.132167827375e-02       2.057471398907e+04 
       3.146619693907e-02       2.049072316565e+04 
       3.161122788679e-02       2.040683961236e+04 
       3.175678495226e-02       2.032300050411e+04 
       3.190288243102e-02       2.023899108931e+04 
       3.204953509820e-02       2.015510911400e+04 
       3.219675822896e-02       2.007117955816e+04 
       3.234456762001e-02       1.998724882423e+04 
       3.249297961231e-02       1.990332941448e+04 
       3.264201111501e-02       1.981946028072e+04 
       3.279167963066e-02       1.973556543417e+04 
       3.294200328190e-02       1.965171974645e+04 
       3.309300083964e-02       1.956788429733e+04 
       3.324469175282e-02       1.948418089533e+04 
       3.339709617989e-02       1.940041488683e+04 
       3.355023502218e-02       1.931662765247e+04 
       3.370412995915e-02       1.923296212227e+04 
       3.385880348587e-02       1.914933920408e+04 
       3.401427895264e-02       1.906572506848e+04 
       3.417058060711e-02       1.898219482621e+04 
       3.432773363903e-02       1.889859103430e+04 
       3.448576422767e-02       1.881509324961e+04 
       3.464469959246e-02       1.873165051371e+04 
       3.480456804668e-02       1.864827851544e+04 
       3.496539905477e-02       1.856488189528e+04 
       3.512722329339e-02       1.848156122775e+04 
