# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_idr            15:(.)rho_idm_dr         16:(.)rho_crit           17:(.)rho_g_twin         18:(.)rho_ur_twin        19:(.)rho_b_twin         20:(.)rho_tot            21:(.)p_tot              22:(.)p_tot_prime        23:gr.fac. D             24:gr.fac. f          
       8.884838741853e+13       9.354716192912e-26       5.096808308735e-09       1.743272450249e+22       1.382630059168e+04       1.556167871291e-10       1.228444511534e+18       2.942548677280e-09       1.714657057307e+44       1.746713423485e+33       9.372973109315e+33       4.199750174474e-08       1.185367586236e+44       1.389741921402e+43       1.054130203509e+32       3.038998835796e+44       1.389741921402e+43       0.000000000000e+00       1.054130203509e+32       3.038998835796e+44       1.012999611895e+44      -7.586756440597e+52       7.163317930627e-06       1.617498012768e+00 
       8.789847232612e+13       9.558000795447e-26       5.151377990842e-09       1.706195614615e+22       1.382630059168e+04       1.572985312006e-10       1.215310699930e+18       2.974348677163e-09       1.642496226007e+44       1.691285749500e+33       9.075544755708e+33       4.199750174474e-08       1.135481744601e+44       1.331255046148e+43       1.020679964373e+32       2.911103475331e+44       1.331255046148e+43       0.000000000000e+00       1.020679964373e+32       2.911103475331e+44       9.703678250742e+43      -7.189770509112e+52       7.287862627902e-06       1.589856053652e+00 
       8.695871317136e+13       9.765702915824e-26       5.207766662352e-09       1.669907348628e+22       1.382630059168e+04       1.589984498095e-10       1.202317307373e+18       3.006492338309e-09       1.573372261788e+44       1.637616937045e+33       8.787554562703e+33       4.199750174474e-08       1.087695333746e+44       1.275229573628e+43       9.882911866446e+31       2.788590553002e+44       1.275229573628e+43       0.000000000000e+00       9.882911866446e+31       2.788590553002e+44       9.295301842988e+43      -6.813557332233e+52       7.412407325172e-06       1.563142985593e+00 
       8.602900137289e+13       9.977918547002e-26       5.264155333862e-09       1.634390880573e+22       1.382630059168e+04       1.607167393673e-10       1.189462832583e+18       3.038983374622e-09       1.507157359005e+44       1.585651172954e+33       8.508703033382e+33       4.199750174474e-08       1.041919999751e+44       1.221561916440e+43       9.569301874437e+31       2.671233550502e+44       1.221561916440e+43       0.000000000000e+00       9.569301874437e+31       2.671233550502e+44       8.904111834666e+43      -6.457029951203e+52       7.536952022439e-06       1.537312760099e+00 
       8.510922951025e+13       1.019474577046e-25       5.320544005372e-09       1.599629795447e+22       1.382630059168e+04       1.624535984081e-10       1.176745790335e+18       3.071825540167e-09       1.443729090674e+44       1.535334415158e+33       8.238700174627e+33       4.199750174474e-08       9.980711070464e+43       1.170152846630e+43       9.265643527362e+31       2.558815482482e+44       1.170152846630e+43       0.000000000000e+00       9.265643527362e+31       2.558815482482e+44       8.529384941278e+43      -6.119158283661e+52       7.661496719702e-06       1.512322322912e+00 
       8.419929131143e+13       1.041628480290e-25       5.378751666285e-09       1.565608027367e+22       1.382630059168e+04       1.642092276114e-10       1.164164711278e+18       3.105022629615e-09       1.382970182115e+44       1.486614336480e+33       7.977265195541e+33       4.199750174474e-08       9.560675819248e+43       1.120907312219e+43       8.971621034138e+31       2.451128495357e+44       1.120907312219e+43       0.000000000000e+00       8.971621034138e+31       2.451128495357e+44       8.170428317538e+43      -5.798966147511e+52       7.786041416959e-06       1.488131374523e+00 
       8.329908164066e+13       1.064263802875e-25       5.436959327199e-09       1.532309852150e+22       1.382630059168e+04       1.659838298257e-10       1.151718141774e+18       3.138578478550e-09       1.324768294116e+44       1.439440270216e+33       7.724126215441e+33       4.199750174474e-08       9.158317626413e+43       1.073734261465e+43       8.686928624542e+31       2.347973482996e+44       1.073734261465e+43       0.000000000000e+00       8.686928624542e+31       2.347973482996e+44       7.826578276346e+43      -5.495528440531e+52       7.910586114211e-06       1.464702153378e+00 
       8.240849648618e+13       1.087391006749e-25       5.495166988112e-09       1.499719880042e+22       1.382630059168e+04       1.677776100914e-10       1.139404643726e+18       3.172496964107e-09       1.269015815230e+44       1.393763157448e+33       7.479019981109e+33       4.199750174474e-08       8.772892558222e+43       1.028546474510e+43       8.411270231218e+31       2.249159718593e+44       1.028546474510e+43       0.000000000000e+00       8.411270231218e+31       2.249159718593e+44       7.497199061678e+43      -5.207968467559e+52       8.035130811463e-06       1.441999239091e+00 
       8.152743294829e+13       1.111020780953e-25       5.555193638429e-09       1.467823048606e+22       1.382630059168e+04       1.695907756650e-10       1.127222794411e+18       3.206782005292e-09       1.215609662805e+44       1.349535496021e+33       7.241691593026e+33       4.199750174474e-08       8.403687989172e+43       9.852604021186e+42       8.144359181785e+31       2.154504502020e+44       9.852604021186e+42       0.000000000000e+00       8.144359181785e+31       2.154504502020e+44       7.181681673112e+43      -4.935455407536e+52       8.159675508715e-06       1.419989373846e+00 
       8.065578922741e+13       1.135164046845e-25       5.615220288746e-09       1.436604615763e+22       1.382630059168e+04       1.714235360427e-10       1.115171186317e+18       3.241437563480e-09       1.164451092389e+44       1.306711291147e+33       7.011894240284e+33       4.199750174474e-08       8.050021284391e+43       9.437960111990e+42       7.885917900706e+31       2.063832822032e+44       9.437960111990e+42       0.000000000000e+00       7.885917900706e+31       2.063832822032e+44       6.879442739826e+43      -4.677201913089e+52       8.284220205969e-06       1.398641299792e+00 
