#scalar perturbations for mode k = 1.000000000000e-01 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_idr             17:theta_idr             18:delta_idm_dr          19:theta_idm_dr          20:delta_cdm             21:theta_cdm          
       7.008961076782e-01       1.563939699867e-06      -1.193554307193e+00       2.084903010268e-03       4.018256406848e-09       1.004564101712e-08       1.089107554951e-15       2.009128203424e-09      -8.951657303949e-01       2.084903010268e-03       6.108234888899e-01       7.018552739230e-01      -1.193554307193e+00       2.084446195944e-03       1.950805769958e-04      -1.193554307193e+00       2.084446196201e-03      -8.951657303948e-01       2.084446196877e-03      -8.951657303950e-01       2.085857703715e-03 
       7.008962389172e-01       1.563939993081e-06      -1.193554319611e+00       2.084903420461e-03       4.018258704105e-09       1.004564676026e-08       1.089108585980e-15       2.009129352053e-09      -8.951657397080e-01       2.084903420461e-03       6.108234859730e-01       7.018552709098e-01      -1.193554319610e+00       2.084446605879e-03       1.950806499376e-04      -1.193554319610e+00       2.084446606395e-03      -8.951657397078e-01       2.084446607625e-03      -8.951657397082e-01       2.085858114443e-03 
       7.008963701561e-01       1.563940286295e-06      -1.193554332064e+00       2.084903830717e-03       4.018261001486e-09       1.004565250371e-08       1.089109617043e-15       2.009130500743e-09      -8.951657490483e-01       2.084903830717e-03       6.108234830470e-01       7.018552678876e-01      -1.193554332064e+00       2.084447015879e-03       1.950807228794e-04      -1.193554332064e+00       2.084447016654e-03      -8.951657490481e-01       2.084447018334e-03      -8.951657490487e-01       2.085858525235e-03 
       7.008976825455e-01       1.563943218434e-06      -1.193554457400e+00       2.084907934676e-03       4.018283978034e-09       1.004570994508e-08       1.089119928450e-15       2.009141989017e-09      -8.951658430504e-01       2.084907934676e-03       6.108234535872e-01       7.018552374656e-01      -1.193554457399e+00       2.084451117270e-03       1.950814522982e-04      -1.193554457399e+00       2.084451120660e-03      -8.951658430496e-01       2.084451124590e-03      -8.951658430520e-01       2.085862634554e-03 
       7.008989949348e-01       1.563946150574e-06      -1.193554583556e+00       2.084912040069e-03       4.018306957434e-09       1.004576739358e-08       1.089130240685e-15       2.009153478717e-09      -8.951659376669e-01       2.084912040069e-03       6.108234239226e-01       7.018552068389e-01      -1.193554583554e+00       2.084455220095e-03       1.950821817184e-04      -1.193554583554e+00       2.084455226124e-03      -8.951659376655e-01       2.084455229982e-03      -8.951659376698e-01       2.085866745307e-03 
       7.009003073242e-01       1.563949082714e-06      -1.193554709768e+00       2.084916145562e-03       4.018329937115e-09       1.004582484279e-08       1.089140553050e-15       2.009164968557e-09      -8.951660323260e-01       2.084916145562e-03       6.108233942437e-01       7.018551761979e-01      -1.193554709765e+00       2.084459323021e-03       1.950829111400e-04      -1.193554709765e+00       2.084459331689e-03      -8.951660323240e-01       2.084459335313e-03      -8.951660323302e-01       2.085870856160e-03 
       7.009016197136e-01       1.563952014854e-06      -1.193554835909e+00       2.084920250932e-03       4.018352916646e-09       1.004588229162e-08       1.089150865428e-15       2.009176458323e-09      -8.951661269320e-01       2.084920250932e-03       6.108233645826e-01       7.018551455746e-01      -1.193554835906e+00       2.084463425823e-03       1.950836405630e-04      -1.193554835906e+00       2.084463437128e-03      -8.951661269294e-01       2.084463440717e-03      -8.951661269374e-01       2.085874966889e-03 
       7.009083861888e-01       1.563967132510e-06      -1.193555486195e+00       2.084941417454e-03       4.018471396676e-09       1.004617849169e-08       1.089204035620e-15       2.009235698338e-09      -8.951666146466e-01       2.084941417454e-03       6.108232116734e-01       7.018549877057e-01      -1.193555486188e+00       2.084484579106e-03       1.950874013775e-04      -1.193555486188e+00       2.084484604008e-03      -8.951666146409e-01       2.084484607595e-03      -8.951666146584e-01       2.085896161045e-03 
       7.009151526639e-01       1.563982250167e-06      -1.193556136429e+00       2.084962583904e-03       4.018589878898e-09       1.004647469724e-08       1.089257207852e-15       2.009294939449e-09      -8.951671023220e-01       2.084962583904e-03       6.108230587764e-01       7.018548298498e-01      -1.193556136418e+00       2.084505732316e-03       1.950911622301e-04      -1.193556136418e+00       2.084505770816e-03      -8.951671023133e-01       2.084505774483e-03      -8.951671023404e-01       2.085917355130e-03 
       7.009219191391e-01       1.563997367824e-06      -1.193556786673e+00       2.084983750391e-03       4.018708363520e-09       1.004677090880e-08       1.089310382180e-15       2.009354181760e-09      -8.951675900049e-01       2.084983750391e-03       6.108229058760e-01       7.018546719915e-01      -1.193556786657e+00       2.084526885563e-03       1.950949231208e-04      -1.193556786657e+00       2.084526937660e-03      -8.951675899931e-01       2.084526941313e-03      -8.951675900297e-01       2.085938549251e-03 
       7.009286856143e-01       1.564012485482e-06      -1.193557436892e+00       2.085004916852e-03       4.018826850424e-09       1.004706712606e-08       1.089363558573e-15       2.009413425212e-09      -8.951680776688e-01       2.085004916852e-03       6.108227529810e-01       7.018545141395e-01      -1.193557436872e+00       2.084548038784e-03       1.950986840497e-04      -1.193557436872e+00       2.084548104480e-03      -8.951680776538e-01       2.084548108124e-03      -8.951680777000e-01       2.085959743349e-03 
       7.009822867241e-01       1.564132241084e-06      -1.193562586792e+00       2.085172587660e-03       4.019765533565e-09       1.004941383391e-08       1.089784872106e-15       2.009882766782e-09      -8.951719400941e-01       2.085172587660e-03       6.108215419940e-01       7.018532639188e-01      -1.193562586740e+00       2.084715604701e-03       1.951284778608e-04      -1.193562586740e+00       2.084715778124e-03      -8.951719400547e-01       2.084715781770e-03      -8.951719401765e-01       2.086127633093e-03 
       7.010358878339e-01       1.564251996708e-06      -1.193567735225e+00       2.085340257110e-03       4.020704360316e-09       1.005176090079e-08       1.090206315323e-15       2.010352180158e-09      -8.951758014188e-01       2.085340257110e-03       6.108203313175e-01       7.018520140679e-01      -1.193567735140e+00       2.084883169244e-03       1.951582740655e-04      -1.193567735140e+00       2.084883450410e-03      -8.951758013549e-01       2.084883454059e-03      -8.951758015524e-01       2.086295521513e-03 
       7.010894889437e-01       1.564371752356e-06      -1.193572882191e+00       2.085507925201e-03       4.021643330688e-09       1.005410832672e-08       1.090627888255e-15       2.010821665344e-09      -8.951796616429e-01       2.085507925201e-03       6.108191209515e-01       7.018507645869e-01      -1.193572882073e+00       2.085050732412e-03       1.951880726639e-04      -1.193572882073e+00       2.085051121339e-03      -8.951796615545e-01       2.085051124988e-03      -8.951796618277e-01       2.086463408607e-03 
       7.011430900534e-01       1.564491508026e-06      -1.193578027688e+00       2.085675591931e-03       4.022582444687e-09       1.005645611172e-08       1.091049590930e-15       2.011291222344e-09      -8.951835207659e-01       2.085675591931e-03       6.108179108964e-01       7.018495154759e-01      -1.193578027537e+00       2.085218294203e-03       1.952178736559e-04      -1.193578027537e+00       2.085218790907e-03      -8.951835206530e-01       2.085218794558e-03      -8.951835210019e-01       2.086631294375e-03 
       7.013184726300e-01       1.564883348167e-06      -1.193594853471e+00       2.086224187162e-03       4.025656225148e-09       1.006414056287e-08       1.092430307206e-15       2.012828112574e-09      -8.951961401035e-01       2.086224187162e-03       6.108139537735e-01       7.018454309764e-01      -1.193594853214e+00       2.085766545962e-03       1.953153990889e-04      -1.193594853214e+00       2.085767395428e-03      -8.951961399105e-01       2.085767399082e-03      -8.951961405072e-01       2.087180606527e-03 
       7.014938552065e-01       1.565275188551e-06      -1.193611663541e+00       2.086772767804e-03       4.028731543690e-09       1.007182885922e-08       1.093812413843e-15       2.014365771845e-09      -8.952087476561e-01       2.086772767804e-03       6.108099999772e-01       7.018413504374e-01      -1.193611663177e+00       2.086314782960e-03       1.954129501472e-04      -1.193611663177e+00       2.086315985366e-03      -8.952087473830e-01       2.086315989025e-03      -8.952087482276e-01       2.087729904448e-03 
       7.016692377831e-01       1.565667029175e-06      -1.193628457897e+00       2.087321333833e-03       4.031808400620e-09       1.007952100155e-08       1.095195911865e-15       2.015904200310e-09      -8.952213434228e-01       2.087321333833e-03       6.108060495086e-01       7.018372738590e-01      -1.193628457425e+00       2.086863005173e-03       1.955105268300e-04      -1.193628457426e+00       2.086864560696e-03      -8.952213430696e-01       2.086864564360e-03      -8.952213441623e-01       2.088279188114e-03 
       7.018446203596e-01       1.566058870039e-06      -1.193645236541e+00       2.087869885231e-03       4.034886796259e-09       1.008721699065e-08       1.096580802301e-15       2.017443398129e-09      -8.952339274059e-01       2.087869885231e-03       6.108021023677e-01       7.018332012406e-01      -1.193645235962e+00       2.087411212583e-03       1.956081291367e-04      -1.193645235963e+00       2.087413121403e-03      -8.952339269726e-01       2.087413125070e-03      -8.952339283134e-01       2.088828457508e-03 
       7.020200029361e-01       1.566450711143e-06      -1.193661999483e+00       2.088418421993e-03       4.037966730950e-09       1.009491682738e-08       1.097967086187e-15       2.018983365475e-09      -8.952464996121e-01       2.088418421993e-03       6.107981585532e-01       7.018291325800e-01      -1.193661998796e+00       2.087959405185e-03       1.957057570664e-04      -1.193661998798e+00       2.087961667478e-03      -8.952464990986e-01       2.087961671150e-03      -8.952465006878e-01       2.089377712623e-03 
       7.028162031121e-01       1.568229590724e-06      -1.193737902683e+00       2.090908480120e-03       4.051968352811e-09       1.012992088203e-08       1.104278075648e-15       2.025984176405e-09      -8.953034270126e-01       2.090908480120e-03       6.107802962165e-01       7.018107113766e-01      -1.193737901509e+00       2.090447898737e-03       1.961492896113e-04      -1.193737901514e+00       2.090451767968e-03      -8.953034261355e-01       2.090451771659e-03      -8.953034288533e-01       2.091871036434e-03 
       7.036124032881e-01       1.570008475256e-06      -1.193813484625e+00       2.093398238372e-03       4.066001738404e-09       1.016500434601e-08       1.110617903634e-15       2.033000869202e-09      -8.953601134687e-01       2.093398238372e-03       6.107625019899e-01       7.017923711489e-01      -1.193813482961e+00       2.092936088865e-03       1.965933501613e-04      -1.193813482971e+00       2.092941568709e-03      -8.953601122280e-01       2.092941572420e-03      -8.953601160771e-01       2.094364067763e-03 
       7.044086034640e-01       1.571787364809e-06      -1.193888748778e+00       2.095887701070e-03       4.080066929965e-09       1.020016732491e-08       1.116986670375e-15       2.040033464982e-09      -8.954165615838e-01       2.095887701071e-03       6.107447751726e-01       7.017741110289e-01      -1.193888746623e+00       2.095423979887e-03       1.970379386516e-04      -1.193888746639e+00       2.095431074024e-03      -8.954165599796e-01       2.095431077754e-03      -8.954165649626e-01       2.096856810941e-03 
       7.052048036400e-01       1.573566259511e-06      -1.193963700085e+00       2.098376875295e-03       4.094163975492e-09       1.023540993873e-08       1.123384478013e-15       2.047081987746e-09      -8.954727750639e-01       2.098376875296e-03       6.107271147417e-01       7.017559297812e-01      -1.193963697436e+00       2.097911578879e-03       1.974830550189e-04      -1.193963697461e+00       2.097920290993e-03      -8.954727730960e-01       2.097920294744e-03      -8.954727792155e-01       2.099349273057e-03 
       7.060010038160e-01       1.575345159554e-06      -1.194038344961e+00       2.100865770910e-03       4.108292928871e-09       1.027073232218e-08       1.129811430651e-15       2.054146464435e-09      -8.955287587207e-01       2.100865770910e-03       6.107095193508e-01       7.017378258019e-01      -1.194038341817e+00       2.100398895699e-03       1.979286992012e-04      -1.194038341852e+00       2.100409229481e-03      -8.955287563894e-01       2.100409233250e-03      -8.955287636479e-01       2.101841463981e-03 
       7.095018427525e-01       1.583166927387e-06      -1.194362959613e+00       2.111805999832e-03       4.170796484709e-09       1.042699121177e-08       1.158418629085e-15       2.085398242354e-09      -8.957722197097e-01       2.111805999833e-03       6.106329175317e-01       7.016591301203e-01      -1.194362954274e+00       2.111332140413e-03       1.998944278347e-04      -1.194362954374e+00       2.111349648440e-03      -8.957722157804e-01       2.111349652298e-03      -8.957722280781e-01       2.112796270398e-03 
       7.130026816889e-01       1.590988792562e-06      -1.194681682034e+00       2.122740692006e-03       4.233920103690e-09       1.058480025923e-08       1.187599526152e-15       2.116960051845e-09      -8.960112615258e-01       2.122740692007e-03       6.105575718441e-01       7.015819202597e-01      -1.194681674467e+00       2.122259779094e-03       2.018703543497e-04      -1.194681674666e+00       2.122284533171e-03      -8.960112559992e-01       2.122284537120e-03      -8.960112733867e-01       2.123745684372e-03 
       7.165035206254e-01       1.598810759500e-06      -1.194994759224e+00       2.133670142577e-03       4.297667257182e-09       1.074416814295e-08       1.217362806142e-15       2.148833628591e-09      -8.962460694178e-01       2.133670142579e-03       6.104834327260e-01       7.015061344644e-01      -1.194994749395e+00       2.133182106528e-03       2.038564736330e-04      -1.194994749726e+00       2.133214178839e-03      -8.962460622947e-01       2.133214182880e-03      -8.962460848230e-01       2.134690001759e-03 
       7.200043595619e-01       1.606632824494e-06      -1.195302236032e+00       2.144594272568e-03       4.362040632886e-09       1.090510158221e-08       1.247717006378e-15       2.181020316443e-09      -8.964766770242e-01       2.144594272571e-03       6.104104946821e-01       7.014317615152e-01      -1.195302223909e+00       2.144099043378e-03       2.058527805921e-04      -1.195302224407e+00       2.144138506466e-03      -8.964766683052e-01       2.144138510598e-03      -8.964766960260e-01       2.145629144288e-03 
       7.235051984984e-01       1.614454990207e-06      -1.195604308343e+00       2.155513292595e-03       4.427043537960e-09       1.106760884490e-08       1.278670933757e-15       2.213521768980e-09      -8.967032312569e-01       2.155513292598e-03       6.103387189623e-01       7.013587524355e-01      -1.195604293890e+00       2.155010799900e-03       2.078592702233e-04      -1.195604294590e+00       2.155057726691e-03      -8.967032209427e-01       2.155057730918e-03      -8.967032539081e-01       2.156563323286e-03 
       7.270060374349e-01       1.622277255252e-06      -1.195901072513e+00       2.166427229764e-03       4.492678891407e-09       1.123169722852e-08       1.310233364089e-15       2.246339445704e-09      -8.969258043847e-01       2.166427229768e-03       6.102680883684e-01       7.012870831296e-01      -1.195901055698e+00       2.165917402842e-03       2.098759376256e-04      -1.195901056635e+00       2.165971866671e-03      -8.969257924760e-01       2.165971870997e-03      -8.969258307387e-01       2.167492566569e-03 
       7.335784105472e-01       1.636962817596e-06      -1.196444333936e+00       2.186903363214e-03       4.617619769826e-09       1.154404942456e-08       1.371162461630e-15       2.308809884913e-09      -8.973332504517e-01       2.186903363219e-03       6.101384933909e-01       7.011560363959e-01      -1.196444312592e+00       2.186379574957e-03       2.136894431461e-04      -1.196444314068e+00       2.186448387971e-03      -8.973332355515e-01       2.186448392481e-03      -8.973332839029e-01       2.187997835172e-03 
       7.401507836596e-01       1.651648730781e-06      -1.196970115423e+00       2.207362430229e-03       4.744820646007e-09       1.186205161502e-08       1.434327394702e-15       2.372410323003e-09      -8.977275865674e-01       2.207362430235e-03       6.100127024682e-01       7.010294044861e-01      -1.196970089428e+00       2.206824427735e-03       2.175387723615e-04      -1.196970091571e+00       2.206907851827e-03      -8.977275686782e-01       2.206907856501e-03      -8.977276273091e-01       2.208486563137e-03 
       7.467231567720e-01       1.666334994795e-06      -1.197479173536e+00       2.227804962576e-03       4.874301703243e-09       1.218575425811e-08       1.499788964596e-15       2.437150851622e-09      -8.981093801520e-01       2.227804962584e-03       6.098905713320e-01       7.009069982233e-01      -1.197479142763e+00       2.227252490570e-03       2.214238949977e-04      -1.197479145702e+00       2.227350790232e-03      -8.981093592765e-01       2.227350795115e-03      -8.981094283808e-01       2.228959286927e-03 
       7.532955298843e-01       1.681021610155e-06      -1.197972288931e+00       2.248231588234e-03       5.006083391690e-09       1.251520847922e-08       1.567609148645e-15       2.503041695845e-09      -8.984792166981e-01       2.248231588242e-03       6.097719471389e-01       7.007886224079e-01      -1.197972253252e+00       2.247664389071e-03       2.253447816935e-04      -1.197972257118e+00       2.247777832797e-03      -8.984791928390e-01       2.247777837965e-03      -8.984792726142e-01       2.249416639209e-03 
       7.598679029967e-01       1.695708577808e-06      -1.198450152123e+00       2.268642816421e-03       5.140185961499e-09       1.285046490375e-08       1.637850968534e-15       2.570092980750e-09      -8.988376140921e-01       2.268642816431e-03       6.096566971068e-01       7.006741043766e-01      -1.198450111408e+00       2.268060630088e-03       2.293014040484e-04      -1.198450116336e+00       2.268189488683e-03      -8.988375872522e-01       2.268189494022e-03      -8.988376778993e-01       2.269859133896e-03 
       7.664402761090e-01       1.710395897210e-06      -1.198913272236e+00       2.289038851025e-03       5.276628999819e-09       1.319157249955e-08       1.710578340857e-15       2.638314499910e-09      -8.991849541768e-01       2.289038851036e-03       6.095447301856e-01       7.005633168151e-01      -1.198913226352e+00       2.288441415141e-03       2.332937344664e-04      -1.198913232478e+00       2.288585958315e-03      -8.991849243589e-01       2.288585963692e-03      -8.991850260823e-01       2.290286979563e-03 
       7.730126492214e-01       1.725083567382e-06      -1.199362303284e+00       2.309420207899e-03       5.415432825405e-09       1.353858206351e-08       1.785856529949e-15       2.707716412703e-09      -8.995217274631e-01       2.309420207913e-03       6.094359164846e-01       7.004560961873e-01      -1.199362252097e+00       2.308807257718e-03       2.373217460472e-04      -1.199362259560e+00       2.308967759378e-03      -8.995216946702e-01       2.308967765162e-03      -8.995218076779e-01       2.310700696756e-03 
       7.819087755579e-01       1.744964825503e-06      -1.199948801234e+00       2.336985269747e-03       5.607109470111e-09       1.401777367528e-08       1.891931924938e-15       2.803554735056e-09      -8.999616009258e-01       2.336985269762e-03       6.092934233856e-01       7.003163608746e-01      -1.199948742651e+00       2.336350894064e-03       2.428307047160e-04      -1.199948752147e+00       2.336533440152e-03      -8.999615641107e-01       2.336533446254e-03      -8.999616927300e-01       2.338310443588e-03 
       7.908049018945e-01       1.764846727259e-06      -1.200512090083e+00       2.364525564908e-03       5.803199205621e-09       1.450799801405e-08       2.002970639196e-15       2.901599602810e-09      -9.003840675620e-01       2.364525564925e-03       6.091561893932e-01       7.001825095410e-01      -1.200512023845e+00       2.363869268484e-03       2.484049253855e-04      -1.200512035640e+00       2.364074376269e-03      -9.003840267301e-01       2.364074382698e-03      -9.003841713576e-01       2.365896450263e-03 
       7.997010282310e-01       1.784729272691e-06      -1.201053406998e+00       2.392041971677e-03       6.003751902222e-09       1.500937975556e-08       2.119144384085e-15       3.001875951111e-09      -9.007900552483e-01       2.392041971697e-03       6.090239724134e-01       7.000542328222e-01      -1.201053332843e+00       2.391363253422e-03       2.540443481066e-04      -1.201053347207e+00       2.391591445153e-03      -9.007900104056e-01       2.391591451945e-03      -9.007901714466e-01       2.393459606702e-03 
       8.085971545676e-01       1.804612461833e-06      -1.201573909251e+00       2.419535316902e-03       6.208817409421e-09       1.552204352355e-08       2.240628774262e-15       3.104408704710e-09      -9.011804319384e-01       2.419535316924e-03       6.088965446035e-01       6.999312413309e-01      -1.201573826910e+00       2.418833669874e-03       2.597489150340e-04      -1.201573844120e+00       2.419085472629e-03      -9.011803830909e-01       2.419085479782e-03      -9.011805609601e-01       2.421000751376e-03 
