#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_idr             17:theta_idr             18:delta_idm_dr          19:theta_idm_dr          20:delta_cdm             21:theta_cdm          
       7.089410487903e+00       1.600313493768e-05      -1.202613871835e+00       2.100701725015e-04       4.237495158821e-08       1.059373789705e-07       1.202575816403e-13       2.118747579410e-08      -9.019604038764e-01       2.100701725015e-04       6.108327281076e-01       6.995954239629e-01      -1.202613871835e+00       2.100220269022e-04       1.991135373316e-04      -1.202613871835e+00       2.100220269280e-04      -9.019604038763e-01       2.100220270087e-04      -9.019604038765e-01       2.101673182625e-04 
       7.089411786933e+00       1.600313790747e-05      -1.202613885685e+00       2.100702127971e-04       4.237497544064e-08       1.059374386016e-07       1.202576939659e-13       2.118748772032e-08      -9.019604142640e-01       2.100702127971e-04       6.108327252458e-01       6.995954205913e-01      -1.202613885685e+00       2.100220671711e-04       1.991136100770e-04      -1.202613885685e+00       2.100220672229e-04      -9.019604142639e-01       2.100220673840e-04      -9.019604142643e-01       2.101673586112e-04 
       7.089413085964e+00       1.600314087727e-05      -1.202613899541e+00       2.100702530936e-04       4.237499929329e-08       1.059374982332e-07       1.202578062921e-13       2.118749964664e-08      -9.019604246559e-01       2.100702530936e-04       6.108327223827e-01       6.995954172183e-01      -1.202613899541e+00       2.100221074410e-04       1.991136828225e-04      -1.202613899541e+00       2.100221075187e-04      -9.019604246557e-01       2.100221077601e-04      -9.019604246563e-01       2.101673989608e-04 
       7.089426076268e+00       1.600317057520e-05      -1.202614038395e+00       2.100706561107e-04       4.237523783067e-08       1.059380945767e-07       1.202589295888e-13       2.118761891533e-08      -9.019605287959e-01       2.100706561107e-04       6.108326936771e-01       6.995953834146e-01      -1.202614038393e+00       2.100225101917e-04       1.991144102781e-04      -1.202614038393e+00       2.100225105294e-04      -9.019605287951e-01       2.100225115646e-04      -9.019605287975e-01       2.101678025086e-04 
       7.089439066572e+00       1.600320027313e-05      -1.202614177792e+00       2.100710592231e-04       4.237547638818e-08       1.059386909705e-07       1.202600529485e-13       2.118773819409e-08      -9.019606333440e-01       2.100710592231e-04       6.108326648354e-01       6.995953494749e-01      -1.202614177790e+00       2.100229130378e-04       1.991151377350e-04      -1.202614177790e+00       2.100229136369e-04      -9.019606333426e-01       2.100229154487e-04      -9.019606333469e-01       2.101682061518e-04 
       7.089452056877e+00       1.600322997107e-05      -1.202614317726e+00       2.100714624294e-04       4.237571496556e-08       1.059392874139e-07       1.202611763704e-13       2.118785748278e-08      -9.019607382945e-01       2.100714624294e-04       6.108326358596e-01       6.995953154010e-01      -1.202614317723e+00       2.100233159778e-04       1.991158651933e-04      -1.202614317723e+00       2.100233168400e-04      -9.019607382924e-01       2.100233194114e-04      -9.019607382986e-01       2.101686098889e-04 
       7.089465047181e+00       1.600325966900e-05      -1.202614458186e+00       2.100718657279e-04       4.237595356243e-08       1.059398839061e-07       1.202622998535e-13       2.118797678121e-08      -9.019608436395e-01       2.100718657279e-04       6.108326067523e-01       6.995952811956e-01      -1.202614458182e+00       2.100237190099e-04       1.991165926530e-04      -1.202614458182e+00       2.100237201366e-04      -9.019608436368e-01       2.100237234510e-04      -9.019608436449e-01       2.101690137181e-04 
       7.089594950224e+00       1.600355664844e-05      -1.202615888009e+00       2.100759031301e-04       4.237834047234e-08       1.059458511808e-07       1.202735376792e-13       2.118917023617e-08      -9.019619160069e-01       2.100759031301e-04       6.108323093704e-01       6.995949328363e-01      -1.202615887997e+00       2.100277537488e-04       1.991238673270e-04      -1.202615887997e+00       2.100277575927e-04      -9.019619159979e-01       2.100277675408e-04      -9.019619160249e-01       2.101730564282e-04 
       7.089724853268e+00       1.600385362802e-05      -1.202617359355e+00       2.100799478056e-04       4.238072894054e-08       1.059518223513e-07       1.202847805153e-13       2.119036447027e-08      -9.019630195162e-01       2.100799478056e-04       6.108320016036e-01       6.995945740964e-01      -1.202617359335e+00       2.100317957609e-04       1.991311421407e-04      -1.202617359335e+00       2.100318024407e-04      -9.019630195010e-01       2.100318177104e-04      -9.019630195469e-01       2.101771064119e-04 
       7.089854756311e+00       1.600415060774e-05      -1.202618864418e+00       2.100839983889e-04       4.238311869158e-08       1.059577967289e-07       1.202960275806e-13       2.119155934579e-08      -9.019641483139e-01       2.100839983890e-04       6.108316854032e-01       6.995942069273e-01      -1.202618864390e+00       2.100358436807e-04       1.991384170945e-04      -1.202618864390e+00       2.100358532926e-04      -9.019641482924e-01       2.100358728182e-04      -9.019641483572e-01       2.101811623035e-04 
