#scalar perturbations for mode k = 1.000000000000e+00 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_idr             17:theta_idr             18:delta_idm_dr          19:theta_idm_dr          20:delta_cdm             21:theta_cdm          
       7.001071368145e-02       1.560347676749e-07      -1.192535809191e+00       2.083126099689e-02       3.981948325176e-10       9.954870812940e-10       1.070385162449e-17       1.990974162588e-10      -8.944018568929e-01       2.083126099689e-02       6.108449696012e-01       7.021094064524e-01      -1.192535809190e+00       2.082671656604e-02       1.946870000368e-04      -1.192535809190e+00       2.082671656860e-02      -8.944018568928e-01       2.082671656901e-02      -8.944018568930e-01       2.084079140983e-02 
       7.001072681860e-02       1.560347969585e-07      -1.192535821415e+00       2.083126510500e-02       3.981950605061e-10       9.954876512653e-10       1.070386177069e-17       1.990975302531e-10      -8.944018660612e-01       2.083126510500e-02       6.108449666934e-01       7.021094034876e-01      -1.192535821415e+00       2.082672067159e-02       1.946870729902e-04      -1.192535821415e+00       2.082672067671e-02      -8.944018660611e-01       2.082672067708e-02      -8.944018660614e-01       2.084079552330e-02 
       7.001073995575e-02       1.560348262421e-07      -1.192535833639e+00       2.083126921310e-02       3.981952884947e-10       9.954882212368e-10       1.070387191691e-17       1.990976442474e-10      -8.944018752295e-01       2.083126921310e-02       6.108449637855e-01       7.021094005227e-01      -1.192535833639e+00       2.082672477714e-02       1.946871459435e-04      -1.192535833639e+00       2.082672478481e-02      -8.944018752293e-01       2.082672478518e-02      -8.944018752299e-01       2.084079963677e-02 
       7.001085293713e-02       1.560350780851e-07      -1.192535938771e+00       2.083130454341e-02       3.981972492326e-10       9.954931230815e-10       1.070395917612e-17       1.990986246163e-10      -8.944019540782e-01       2.083130454341e-02       6.108449387777e-01       7.021093750243e-01      -1.192535938770e+00       2.082676008544e-02       1.946877733533e-04      -1.192535938770e+00       2.082676011512e-02      -8.944019540775e-01       2.082676011548e-02      -8.944019540797e-01       2.084083501321e-02 
       7.001096591851e-02       1.560353299282e-07      -1.192536043902e+00       2.083133987371e-02       3.981992099769e-10       9.954980249423e-10       1.070404643590e-17       1.990996049885e-10      -8.944020329267e-01       2.083133987371e-02       6.108449137699e-01       7.021093495260e-01      -1.192536043901e+00       2.082679539374e-02       1.946884007641e-04      -1.192536043901e+00       2.082679544543e-02      -8.944020329255e-01       2.082679544579e-02      -8.944020329292e-01       2.084087038965e-02 
       7.001107889988e-02       1.560355817713e-07      -1.192536149033e+00       2.083137520401e-02       3.982011707276e-10       9.955029268189e-10       1.070413369624e-17       1.991005853638e-10      -8.944021117747e-01       2.083137520401e-02       6.108448887622e-01       7.021093240278e-01      -1.192536149031e+00       2.082683070203e-02       1.946890281760e-04      -1.192536149031e+00       2.082683077573e-02      -8.944021117730e-01       2.082683077609e-02      -8.944021117783e-01       2.084090576608e-02 
       7.001119188126e-02       1.560358336144e-07      -1.192536254163e+00       2.083141053430e-02       3.982031314846e-10       9.955078287114e-10       1.070422095715e-17       1.991015657423e-10      -8.944021906223e-01       2.083141053430e-02       6.108448637546e-01       7.021092985298e-01      -1.192536254160e+00       2.082686601032e-02       1.946896555889e-04      -1.192536254160e+00       2.082686610603e-02      -8.944021906201e-01       2.082686610639e-02      -8.944021906270e-01       2.084094114251e-02 
       7.001232169502e-02       1.560383520453e-07      -1.192537305430e+00       2.083176383691e-02       3.982227394025e-10       9.955568485062e-10       1.070509359741e-17       1.991113697012e-10      -8.944029790723e-01       2.083176383691e-02       6.108446136864e-01       7.021090435584e-01      -1.192537305420e+00       2.082721909290e-02       1.946959297766e-04      -1.192537305420e+00       2.082721940868e-02      -8.944029790649e-01       2.082721940904e-02      -8.944029790877e-01       2.084129490651e-02 
       7.001345150878e-02       1.560408704762e-07      -1.192538356634e+00       2.083211713897e-02       3.982423479532e-10       9.956058698831e-10       1.070596629428e-17       1.991211739766e-10      -8.944037674753e-01       2.083211713897e-02       6.108443636314e-01       7.021087886028e-01      -1.192538356617e+00       2.082757217492e-02       1.947022040707e-04      -1.192538356617e+00       2.082757271077e-02      -8.944037674628e-01       2.082757271114e-02      -8.944037675015e-01       2.084164866996e-02 
       7.001458132253e-02       1.560433889071e-07      -1.192539407775e+00       2.083247044046e-02       3.982619571368e-10       9.956548928421e-10       1.070683904778e-17       1.991309785684e-10      -8.944045558313e-01       2.083247044046e-02       6.108441135896e-01       7.021085336630e-01      -1.192539407752e+00       2.082792525636e-02       1.947084784710e-04      -1.192539407752e+00       2.082792601231e-02      -8.944045558137e-01       2.082792601267e-02      -8.944045558683e-01       2.084200243286e-02 
       7.001571113629e-02       1.560459073381e-07      -1.192540458854e+00       2.083282374138e-02       3.982815669533e-10       9.957039173831e-10       1.070771185791e-17       1.991407834766e-10      -8.944053441405e-01       2.083282374138e-02       6.108438635611e-01       7.021082787390e-01      -1.192540458824e+00       2.082827833724e-02       1.947147529777e-04      -1.192540458824e+00       2.082827931328e-02      -8.944053441177e-01       2.082827931364e-02      -8.944053441882e-01       2.084235619522e-02 
       7.002566372283e-02       1.560680923242e-07      -1.192549715158e+00       2.083593596288e-02       3.984543381610e-10       9.961358454024e-10       1.071540293336e-17       1.992271690805e-10      -8.944122863684e-01       2.083593596288e-02       6.108416616178e-01       7.021060337817e-01      -1.192549715067e+00       2.083138861997e-02       1.947700300175e-04      -1.192549715067e+00       2.083139153514e-02      -8.944122863004e-01       2.083139153551e-02      -8.944122865110e-01       2.084547248211e-02 
