# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.455971855503e-10       4.104009446928e-15       3.391615534712e-13       2.264328002072e-19       7.904295671315e-09       4.948076818439e-10      -1.809233282956e-12 
    3       1.363658910171e-10       5.176064694483e-15       3.839428116637e-13       4.529584191154e-19       4.895496000886e-09       3.493396838322e-10      -1.358681204438e-12 
    4       1.280903536460e-10       4.391921568335e-15       3.596210618345e-13       7.551351549204e-19       3.415817299852e-09       2.635056158899e-10      -8.749569946457e-13 
    5       1.219840628520e-10       2.872986014666e-15       3.060875865289e-13       1.133081787356e-18       2.553684885880e-09       2.074900673047e-10      -4.723624212545e-13 
    6       1.177848418338e-10       1.585199215039e-15       2.462948633423e-13       1.586942626266e-18       1.996071414592e-09       1.684691328404e-10      -1.805577861955e-13 
    7       1.150659012071e-10       8.634259183381e-16       1.934374624895e-13       2.116884919763e-18       1.610208767103e-09       1.399946687566e-10       7.760807368474e-16 
    8       1.133872249276e-10       5.727449717344e-16       1.532162080864e-13       2.723095920160e-18       1.330097492567e-09       1.184189989752e-10       8.855423823800e-14 
    9       1.125037521986e-10       4.657552508628e-16       1.267421745996e-13       3.405779693274e-18       1.119566930654e-09       1.016305759337e-10       1.078448055552e-13 
   10       1.122598975782e-10       3.952975107519e-16       1.124492989067e-13       4.165153762780e-18       9.571333065909e-10       8.836023055208e-11       8.563633932750e-14 
   11       1.124229672044e-10       3.322874464471e-16       1.076451014930e-13       5.001445684161e-18       8.093842316182e-10       7.796262507056e-11       4.635415080612e-14 
