#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_idr             17:theta_idr             18:delta_idm_dr          19:theta_idm_dr          20:delta_cdm             21:theta_cdm          
       7.091341519404e+00       1.600754960235e-05      -1.202634436086e+00       2.101300689902e-04       4.225536479733e-08       1.056384119933e-07       1.195455105476e-13       2.112768239867e-08      -9.019758270642e-01       2.101300689905e-04       6.108285797548e-01       6.995904181369e-01      -1.202634435962e+00       2.100818837904e-04       1.992216901274e-04      -1.202634435962e+00       2.100819235708e-04      -9.019758269712e-01       2.100819609713e-04      -9.019758272520e-01       2.102272936729e-04 
       7.091793805968e+00       1.600858361032e-05      -1.202639249983e+00       2.101440976911e-04       4.226364417466e-08       1.056591104367e-07       1.195843815161e-13       2.113182208733e-08      -9.019794374876e-01       2.101440976914e-04       6.108275852795e-01       6.995892463432e-01      -1.202639249830e+00       2.100959032129e-04       1.992470261480e-04      -1.202639249830e+00       2.100959524267e-04      -9.019794373728e-01       2.100959909617e-04      -9.019794377193e-01       2.102413408649e-04 
       7.092246092533e+00       1.600961761995e-05      -1.202644062869e+00       2.101581262908e-04       4.227192462152e-08       1.056798115538e-07       1.196232625864e-13       2.113596231076e-08      -9.019830471517e-01       2.101581262912e-04       6.108265910192e-01       6.995880748047e-01      -1.202644062687e+00       2.101099225330e-04       1.992723638585e-04      -1.202644062687e+00       2.101099811900e-04      -9.019830470152e-01       2.101100203078e-04      -9.019830474275e-01       2.102553879581e-04 
       7.093171120994e+00       1.601173240900e-05      -1.202653903160e+00       2.101868176395e-04       4.228886334169e-08       1.057221583542e-07       1.197028146472e-13       2.114443167085e-08      -9.019904273702e-01       2.101868176401e-04       6.108245582003e-01       6.995856795370e-01      -1.202653902919e+00       2.101385948992e-04       1.993241904772e-04      -1.202653902919e+00       2.101386728844e-04      -9.019904271892e-01       2.101387124991e-04      -9.019904277359e-01       2.102841171376e-04 
       7.094096149454e+00       1.601384720500e-05      -1.202663739227e+00       2.102155085663e-04       4.230580653675e-08       1.057645163419e-07       1.197824089890e-13       2.115290326838e-08      -9.019978044199e-01       2.102155085669e-04       6.108225262786e-01       6.995832853345e-01      -1.202663738925e+00       2.101672668384e-04       1.993760241643e-04      -1.202663738926e+00       2.101673641638e-04      -9.019978041944e-01       2.101674038346e-04      -9.019978048756e-01       2.103128459047e-04 
       7.095021177915e+00       1.601596200795e-05      -1.202673571080e+00       2.102441990728e-04       4.232275420765e-08       1.058068855191e-07       1.198620456295e-13       2.116137710382e-08      -9.020051783098e-01       2.102441990736e-04       6.108204952512e-01       6.995808921940e-01      -1.202673570719e+00       2.101959383523e-04       1.994278649195e-04      -1.202673570720e+00       2.101960550241e-04      -9.020051780398e-01       2.101960946873e-04      -9.020051788556e-01       2.103415742614e-04 
       7.095946206375e+00       1.601807681784e-05      -1.202683398730e+00       2.102728891606e-04       4.233970635525e-08       1.058492658881e-07       1.199417245868e-13       2.116985317763e-08      -9.020125490475e-01       2.102728891615e-04       6.108184651162e-01       6.995785001132e-01      -1.202683398310e+00       2.102246094426e-04       1.994797127428e-04      -1.202683398310e+00       2.102247454654e-04      -9.020125487330e-01       2.102247851428e-04      -9.020125496834e-01       2.103703022091e-04 
       7.097712634061e+00       1.602211526291e-05      -1.202702153892e+00       2.103276743866e-04       4.237209049376e-08       1.059302262344e-07       1.200939965715e-13       2.118604524688e-08      -9.020266154191e-01       2.103276743878e-04       6.108145908578e-01       6.995739351494e-01      -1.202702153358e+00       2.102793583770e-04       1.995787406080e-04      -1.202702153359e+00       2.102795313665e-04      -9.020266150196e-01       2.102795710860e-04      -9.020266162272e-01       2.104251597592e-04 
       7.099479061746e+00       1.602615373335e-05      -1.202720893817e+00       2.103824580990e-04       4.240449096558e-08       1.060112274140e-07       1.202464230525e-13       2.120224548279e-08      -9.020406703630e-01       2.103824581004e-04       6.108107198344e-01       6.995693740271e-01      -1.202720893169e+00       2.103341057796e-04       1.996777942462e-04      -1.202720893171e+00       2.103343157540e-04      -9.020406698785e-01       2.103343555393e-04      -9.020406713433e-01       2.104800158312e-04 
       7.101245489431e+00       1.603019222918e-05      -1.202739618562e+00       2.104372403060e-04       4.243690777644e-08       1.060922694411e-07       1.203990041525e-13       2.121845388822e-08      -9.020547139212e-01       2.104372403077e-04       6.108068520345e-01       6.995648167323e-01      -1.202739617800e+00       2.103888516585e-04       1.997768736566e-04      -1.202739617802e+00       2.103890986368e-04      -9.020547133518e-01       2.103891384717e-04      -9.020547150739e-01       2.105348704334e-04 
