#scalar perturbations for mode k = 1.000000000000e-03 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_idr             17:theta_idr             18:delta_idm_dr          19:theta_idm_dr          20:delta_cdm             21:theta_cdm          
       7.880086553381e+01       2.008611516326e-04      -1.330908168866e+00       2.324804166221e-05       7.865006614602e-07       1.966251653650e-06       3.768289335085e-11       3.932503307301e-07      -9.981811266492e-01       2.324804166221e-05       5.995045993470e-01       6.675722972183e-01      -1.330908168865e+00       2.324008405902e-05       2.394715477027e-04      -1.330908168865e+00       2.324008406186e-05      -9.981811266491e-01       2.324008407045e-05      -9.981811266493e-01       2.325884081626e-05 
       7.880087737902e+01       2.008611856218e-04      -1.330908170021e+00       2.324804482314e-05       7.865010338980e-07       1.966252584745e-06       3.768292396842e-11       3.932505169490e-07      -9.981811275155e-01       2.324804482314e-05       5.995046012688e-01       6.675722970213e-01      -1.330908170020e+00       2.324008721625e-05       2.394716211018e-04      -1.330908170020e+00       2.324008722192e-05      -9.981811275153e-01       2.324008723912e-05      -9.981811275157e-01       2.325884398175e-05 
       7.880088922423e+01       2.008612196110e-04      -1.330908171176e+00       2.324804798407e-05       7.865014063360e-07       1.966253515840e-06       3.768295458601e-11       3.932507031680e-07      -9.981811283818e-01       2.324804798408e-05       5.995046031907e-01       6.675722968243e-01      -1.330908171175e+00       2.324009037348e-05       2.394716945010e-04      -1.330908171175e+00       2.324009038199e-05      -9.981811283815e-01       2.324009040779e-05      -9.981811283822e-01       2.325884714724e-05 
       7.880100767632e+01       2.008615595028e-04      -1.330908182727e+00       2.324807959336e-05       7.865051307226e-07       1.966262826806e-06       3.768326076303e-11       3.932525653613e-07      -9.981811370453e-01       2.324807959340e-05       5.995046224090e-01       6.675722948544e-01      -1.330908182725e+00       2.324012194579e-05       2.394724284928e-04      -1.330908182725e+00       2.324012198267e-05      -9.981811370440e-01       2.324012209445e-05      -9.981811370469e-01       2.325887880216e-05 
       7.880112612842e+01       2.008618993947e-04      -1.330908194279e+00       2.324811120266e-05       7.865088551215e-07       1.966272137804e-06       3.768356694210e-11       3.932544275608e-07      -9.981811457093e-01       2.324811120274e-05       5.995046416271e-01       6.675722928844e-01      -1.330908194276e+00       2.324015351811e-05       2.394731624856e-04      -1.330908194276e+00       2.324015358335e-05      -9.981811457071e-01       2.324015378111e-05      -9.981811457122e-01       2.325891045709e-05 
       7.880124458051e+01       2.008622392868e-04      -1.330908205832e+00       2.324814281196e-05       7.865125795328e-07       1.966281448832e-06       3.768387312322e-11       3.932562897664e-07      -9.981811543738e-01       2.324814281207e-05       5.995046608452e-01       6.675722909141e-01      -1.330908205828e+00       2.324018509043e-05       2.394738964794e-04      -1.330908205828e+00       2.324018518404e-05      -9.981811543707e-01       2.324018546778e-05      -9.981811543780e-01       2.325894211202e-05 
       7.880136303261e+01       2.008625791789e-04      -1.330908217385e+00       2.324817442126e-05       7.865163039564e-07       1.966290759891e-06       3.768417930638e-11       3.932581519782e-07      -9.981811630387e-01       2.324817442141e-05       5.995046800631e-01       6.675722889437e-01      -1.330908217380e+00       2.324021666275e-05       2.394746304741e-04      -1.330908217380e+00       2.324021678472e-05      -9.981811630347e-01       2.324021715445e-05      -9.981811630442e-01       2.325897376695e-05 
       7.880254755356e+01       2.008659781069e-04      -1.330908332949e+00       2.324849051441e-05       7.865535488684e-07       1.966383872171e-06       3.768724125037e-11       3.932767744342e-07      -9.981812497120e-01       2.324849051490e-05       5.995048722366e-01       6.675722692320e-01      -1.330908332931e+00       2.324053238608e-05       2.394819704768e-04      -1.330908332931e+00       2.324053279172e-05      -9.981812496985e-01       2.324053402128e-05      -9.981812497303e-01       2.325929031639e-05 
       7.880373207451e+01       2.008693770462e-04      -1.330908448572e+00       2.324880660780e-05       7.865907950099e-07       1.966476987525e-06       3.769030339874e-11       3.932953975050e-07      -9.981813364288e-01       2.324880660863e-05       5.995050643995e-01       6.675722495059e-01      -1.330908448541e+00       2.324084810963e-05       2.394893105792e-04      -1.330908448541e+00       2.324084879895e-05      -9.981813364059e-01       2.324085088834e-05      -9.981813364599e-01       2.325960686608e-05 
       7.880491659545e+01       2.008727759970e-04      -1.330908564252e+00       2.324912270140e-05       7.866280423809e-07       1.966570105952e-06       3.769336575150e-11       3.933140211905e-07      -9.981814231892e-01       2.324912270257e-05       5.995052565516e-01       6.675722297654e-01      -1.330908564209e+00       2.324116383339e-05       2.394966507812e-04      -1.330908564209e+00       2.324116480639e-05      -9.981814231568e-01       2.324116775563e-05      -9.981814232330e-01       2.325992341600e-05 
       7.880610111640e+01       2.008761749591e-04      -1.330908679991e+00       2.324943879523e-05       7.866652909815e-07       1.966663227454e-06       3.769642830867e-11       3.933326454908e-07      -9.981815099930e-01       2.324943879675e-05       5.995054486932e-01       6.675722100106e-01      -1.330908679935e+00       2.324147955736e-05       2.395039910828e-04      -1.330908679935e+00       2.324148081405e-05      -9.981815099513e-01       2.324148462315e-05      -9.981815100497e-01       2.326023996616e-05 
       7.881539837683e+01       2.009028536822e-04      -1.330909590429e+00       2.325191981158e-05       7.869576965524e-07       1.967394241381e-06       3.772047330457e-11       3.934788482762e-07      -9.981821928217e-01       2.325191981578e-05       5.995069564352e-01       6.675720544569e-01      -1.330909590275e+00       2.324395767026e-05       2.395616082948e-04      -1.330909590275e+00       2.324396115396e-05      -9.981821927060e-01       2.324397171222e-05      -9.981821929788e-01       2.326272456464e-05 
       7.882469563726e+01       2.009295331087e-04      -1.330910504429e+00       2.325440084160e-05       7.872501778919e-07       1.968125444730e-06       3.774453089963e-11       3.936250889460e-07      -9.981828783220e-01       2.325440084849e-05       5.995084635230e-01       6.675718980203e-01      -1.330910504176e+00       2.324643579606e-05       2.396192316455e-04      -1.330910504176e+00       2.324644150729e-05      -9.981828781325e-01       2.324645881512e-05      -9.981828785796e-01       2.326520917755e-05 
       7.883399289769e+01       2.009562132386e-04      -1.330911421983e+00       2.325688188513e-05       7.875427350178e-07       1.968856837544e-06       3.776860109984e-11       3.937713675089e-07      -9.981835664870e-01       2.325688189471e-05       5.995099699583e-01       6.675717407033e-01      -1.330911421631e+00       2.324891393460e-05       2.396768611347e-04      -1.330911421631e+00       2.324892187391e-05      -9.981835662236e-01       2.324894593169e-05      -9.981835668450e-01       2.326769380474e-05 
       7.884329015812e+01       2.009828940720e-04      -1.330912343080e+00       2.325936294204e-05       7.878353679476e-07       1.969588419869e-06       3.779268391120e-11       3.939176839738e-07      -9.981842573097e-01       2.325936295431e-05       5.995114757431e-01       6.675715825080e-01      -1.330912342629e+00       2.325139208575e-05       2.397344967627e-04      -1.330912342629e+00       2.325140225367e-05      -9.981842569726e-01       2.325143306179e-05      -9.981842577683e-01       2.327017844606e-05 
       7.886243770930e+01       2.010378450146e-04      -1.330914251190e+00       2.326447267848e-05       7.884382794296e-07       1.971095698574e-06       3.784232181204e-11       3.942191397148e-07      -9.981856883923e-01       2.326447269630e-05       5.995145748397e-01       6.675712539500e-01      -1.330914250536e+00       2.325649583539e-05       2.398532157070e-04      -1.330914250536e+00       2.325651059480e-05      -9.981856879035e-01       2.325655530636e-05      -9.981856890581e-01       2.327529556695e-05 
       7.888158526049e+01       2.010927989402e-04      -1.330916174216e+00       2.326958246986e-05       7.890415126626e-07       1.972603781657e-06       3.789201328055e-11       3.945207563313e-07      -9.981871306622e-01       2.326958249324e-05       5.995176712001e-01       6.675709216956e-01      -1.330916173358e+00       2.326159963670e-05       2.399719606886e-04      -1.330916173359e+00       2.326161898988e-05      -9.981871300218e-01       2.326167760655e-05      -9.981871315352e-01       2.328041274601e-05 
       7.890073281167e+01       2.011477558486e-04      -1.330918112086e+00       2.327469231506e-05       7.896450678031e-07       1.974112669508e-06       3.794175836925e-11       3.948225339015e-07      -9.981885840644e-01       2.327469234401e-05       5.995207648391e-01       6.675705857630e-01      -1.330918111024e+00       2.326670348855e-05       2.400907317078e-04      -1.330918111026e+00       2.326672743778e-05      -9.981885832729e-01       2.326679996122e-05      -9.981885851450e-01       2.328552998213e-05 
       7.891988036285e+01       2.012027157396e-04      -1.330920064729e+00       2.327980221301e-05       7.902489450089e-07       1.975622362522e-06       3.799155713069e-11       3.951244725044e-07      -9.981900485471e-01       2.327980224753e-05       5.995238557707e-01       6.675702461695e-01      -1.330920063464e+00       2.327180738988e-05       2.402095287649e-04      -1.330920063466e+00       2.327183593744e-05      -9.981900476046e-01       2.327192236933e-05      -9.981900498352e-01       2.329064727422e-05 
       7.893902791403e+01       2.012576786129e-04      -1.330922032081e+00       2.328491216272e-05       7.908531444394e-07       1.977132861099e-06       3.804140961753e-11       3.954265722197e-07      -9.981915240611e-01       2.328491220282e-05       5.995269440079e-01       6.675699029316e-01      -1.330922030611e+00       2.327691133969e-05       2.403283518600e-04      -1.330922030614e+00       2.327694448787e-05      -9.981915229678e-01       2.327704482987e-05      -9.981915255569e-01       2.329576462132e-05 
       7.901865480749e+01       2.014862788784e-04      -1.330930369962e+00       2.330616290533e-05       7.933692244575e-07       1.983423061144e-06       3.824930330981e-11       3.966846122287e-07      -9.981977774717e-01       2.330616296875e-05       5.995397580898e-01       6.675684367785e-01      -1.330930367642e+00       2.329813709601e-05       2.408227681788e-04      -1.330930367649e+00       2.329818940076e-05      -9.981977757541e-01       2.329834760728e-05      -9.981977798330e-01       2.331704616133e-05 
       7.909828170096e+01       2.017149307043e-04      -1.330938957442e+00       2.332741447418e-05       7.958908916497e-07       1.989727229124e-06       3.845813084482e-11       3.979454458249e-07      -9.982042180817e-01       2.332741456105e-05       5.995525265062e-01       6.675669087896e-01      -1.330938954268e+00       2.331936362181e-05       2.413176348176e-04      -1.330938954282e+00       2.331943512267e-05      -9.982042157438e-01       2.331965122285e-05      -9.982042213107e-01       2.333832858353e-05 
       7.917790859442e+01       2.019436340837e-04      -1.330947791831e+00       2.334866683481e-05       7.984181583029e-07       1.996045395757e-06       3.866789605496e-11       3.992090791514e-07      -9.982108438730e-01       2.334866694528e-05       5.995652497545e-01       6.675653196377e-01      -1.330947787800e+00       2.334059088257e-05       2.418129517913e-04      -1.330947787823e+00       2.334068161910e-05      -9.982108409190e-01       2.334095564228e-05      -9.982108479724e-01       2.335961185349e-05 
       7.925753548788e+01       2.021723890153e-04      -1.330956871525e+00       2.336991997275e-05       8.009510371779e-07       2.002377592945e-06       3.887860279974e-11       4.004755185889e-07      -9.982176536435e-01       2.336992010697e-05       5.995779280937e-01       6.675636697236e-01      -1.330956866636e+00       2.336181886378e-05       2.423087191147e-04      -1.330956866669e+00       2.336192887556e-05      -9.982176500776e-01       2.336226085130e-05      -9.982176586156e-01       2.338089595679e-05 
       7.933716238135e+01       2.024011955028e-04      -1.330966196017e+00       2.339117389381e-05       8.034895415371e-07       2.008723853843e-06       3.909025496785e-11       4.017447707685e-07      -9.982246470126e-01       2.339117405192e-05       5.995905615422e-01       6.675619591740e-01      -1.330966190266e+00       2.338304757115e-05       2.428049368022e-04      -1.330966190312e+00       2.338317689780e-05      -9.982246428388e-01       2.338356685583e-05      -9.982246528599e-01       2.340218089923e-05 
       7.941678927481e+01       2.026300535554e-04      -1.330975765903e+00       2.341242862421e-05       8.060336851719e-07       2.015084212930e-06       3.930285647927e-11       4.030168425859e-07      -9.982318244270e-01       2.341242880636e-05       5.996031498764e-01       6.675601878401e-01      -1.330975759288e+00       2.340427703084e-05       2.433016048686e-04      -1.330975759349e+00       2.340442571203e-05      -9.982318196496e-01       2.340487368229e-05      -9.982318311520e-01       2.342346670707e-05 
       7.964492246262e+01       2.032860236552e-04      -1.331004558101e+00       2.347332890450e-05       8.133540771616e-07       2.033385192904e-06       3.991725728255e-11       4.066770385808e-07      -9.982534185760e-01       2.347332915635e-05       5.996389617591e-01       6.675547724899e-01      -1.331004548996e+00       2.346510459359e-05       2.447270659769e-04      -1.331004549111e+00       2.346530894595e-05      -9.982534120920e-01       2.346592329030e-05      -9.982534278292e-01       2.348445633571e-05 
       7.987305565044e+01       2.039424171635e-04      -1.331035353442e+00       2.353423610180e-05       8.207211665572e-07       2.051802916393e-06       4.053957387104e-11       4.103605832786e-07      -9.982765150814e-01       2.353423642457e-05       5.996744028936e-01       6.675488609857e-01      -1.331035341824e+00       2.352593860316e-05       2.461562244798e-04      -1.331035342009e+00       2.352619895334e-05      -9.982765069249e-01       2.352697992366e-05      -9.982765268833e-01       2.354545334235e-05 
       8.010118883825e+01       2.045992338639e-04      -1.331068079020e+00       2.359514920451e-05       8.281351925787e-07       2.070337981447e-06       4.116989466391e-11       4.140675962893e-07      -9.983010592654e-01       2.359514959944e-05       5.997094872484e-01       6.675424715539e-01      -1.331068064867e+00       2.358677804636e-05       2.475890807266e-04      -1.331068065140e+00       2.358709472183e-05      -9.983010494705e-01       2.358804257454e-05      -9.983010736365e-01       2.360645671602e-05 
       8.032932202607e+01       2.052564738612e-04      -1.331102727166e+00       2.365606841205e-05       8.355964275333e-07       2.088991068833e-06       4.180831016820e-11       4.177982137666e-07      -9.983270453751e-01       2.365606888038e-05       5.997442144749e-01       6.675356061125e-01      -1.331102710456e+00       2.364762312097e-05       2.490256350377e-04      -1.331102710834e+00       2.364799645004e-05      -9.983270339759e-01       2.364911144602e-05      -9.983270623361e-01       2.366746665675e-05 
       8.055745521388e+01       2.059141373309e-04      -1.331139304954e+00       2.371699419873e-05       8.431051504152e-07       2.107762876038e-06       4.245491165871e-11       4.215525752076e-07      -9.983544787162e-01       2.371699474173e-05       5.997785810202e-01       6.675282628934e-01      -1.331139285664e+00       2.370847429973e-05       2.504658877409e-04      -1.331139286164e+00       2.370890461152e-05      -9.983544657469e-01       2.371018701610e-05      -9.983544982878e-01       2.372848363946e-05 
