#scalar perturbations for mode k = 1.000000000000e+00 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_idr             17:theta_idr             18:delta_idm_dr          19:theta_idm_dr          20:delta_cdm             21:theta_cdm          
       7.001071368421e-02       1.560347676810e-07      -1.192535809195e+00       2.083126099779e-02       3.996566339590e-10       9.991415848975e-10       1.078258524263e-17       1.998283169795e-10      -8.944018568964e-01       2.083126099779e-02       6.108449686088e-01       7.021094064513e-01      -1.192535809195e+00       2.082671656694e-02       1.946870000522e-04      -1.192535809195e+00       2.082671656950e-02      -8.944018568964e-01       2.082671657625e-02      -8.944018568965e-01       2.084079141073e-02 
       7.001072682136e-02       1.560347969646e-07      -1.192535821428e+00       2.083126510605e-02       3.996568627874e-10       9.991421569686e-10       1.078259546355e-17       1.998284313937e-10      -8.944018660713e-01       2.083126510605e-02       6.108449656988e-01       7.021094034842e-01      -1.192535821428e+00       2.082672067264e-02       1.946870730056e-04      -1.192535821428e+00       2.082672067776e-02      -8.944018660712e-01       2.082672069005e-02      -8.944018660716e-01       2.084079552435e-02 
       7.001073995852e-02       1.560348262482e-07      -1.192535833665e+00       2.083126921438e-02       3.996570916172e-10       9.991427290429e-10       1.078260568451e-17       1.998285458086e-10      -8.944018752490e-01       2.083126921438e-02       6.108449627878e-01       7.021094005162e-01      -1.192535833665e+00       2.082672477841e-02       1.946871459589e-04      -1.192535833665e+00       2.082672478609e-02      -8.944018752488e-01       2.082672480288e-02      -8.944018752494e-01       2.084079963804e-02 
       7.001087133004e-02       1.560351190842e-07      -1.192535956115e+00       2.083131029905e-02       3.996593799466e-10       9.991484498666e-10       1.078270789527e-17       1.998296899733e-10      -8.944019670863e-01       2.083131029905e-02       6.108449336579e-01       7.021093708160e-01      -1.192535956114e+00       2.082676583750e-02       1.946878754932e-04      -1.192535956114e+00       2.082676587081e-02      -8.944019670855e-01       2.082676591009e-02      -8.944019670879e-01       2.084084077636e-02 
       7.001100270157e-02       1.560354119202e-07      -1.192536078647e+00       2.083135138517e-02       3.996616683126e-10       9.991541707815e-10       1.078281010755e-17       1.998308341563e-10      -8.944020589853e-01       2.083135138517e-02       6.108449045075e-01       7.021093410952e-01      -1.192536078645e+00       2.082680689803e-02       1.946886050289e-04      -1.192536078645e+00       2.082680695700e-02      -8.944020589840e-01       2.082680699558e-02      -8.944020589882e-01       2.084088191612e-02 
       7.001113407309e-02       1.560357047561e-07      -1.192536201184e+00       2.083139247138e-02       3.996639566891e-10       9.991598917228e-10       1.078291232066e-17       1.998319783446e-10      -8.944021508882e-01       2.083139247138e-02       6.108448753557e-01       7.021093113731e-01      -1.192536201182e+00       2.082684795866e-02       1.946893345660e-04      -1.192536201182e+00       2.082684804328e-02      -8.944021508862e-01       2.082684807953e-02      -8.944021508923e-01       2.084092305598e-02 
       7.001126544462e-02       1.560359975921e-07      -1.192536323713e+00       2.083143355746e-02       3.996662450719e-10       9.991656126797e-10       1.078301453448e-17       1.998331225359e-10      -8.944022427851e-01       2.083143355746e-02       6.108448462059e-01       7.021092816530e-01      -1.192536323710e+00       2.082688901916e-02       1.946900641046e-04      -1.192536323710e+00       2.082688912943e-02      -8.944022427825e-01       2.082688916532e-02      -8.944022427904e-01       2.084096419571e-02 
       7.001193994801e-02       1.560375011055e-07      -1.192536952798e+00       2.083164450630e-02       3.996779944933e-10       9.991949862331e-10       1.078353934497e-17       1.998389972466e-10      -8.944027145982e-01       2.083164450630e-02       6.108446965459e-01       7.021091290657e-01      -1.192536952790e+00       2.082709983664e-02       1.946938098115e-04      -1.192536952790e+00       2.082710007863e-02      -8.944027145925e-01       2.082710011450e-02      -8.944027146100e-01       2.084117542000e-02 
       7.001261445140e-02       1.560390046190e-07      -1.192537581856e+00       2.083185545489e-02       3.996897441400e-10       9.992243603501e-10       1.078406417576e-17       1.998448720700e-10      -8.944031863923e-01       2.083185545489e-02       6.108445468914e-01       7.021089764846e-01      -1.192537581845e+00       2.082731065386e-02       1.946975555562e-04      -1.192537581845e+00       2.082731102758e-02      -8.944031863836e-01       2.082731106424e-02      -8.944031864106e-01       2.084138664404e-02 
       7.001328895479e-02       1.560405081325e-07      -1.192538210896e+00       2.083206640333e-02       3.997014940143e-10       9.992537350358e-10       1.078458902692e-17       1.998507470072e-10      -8.944036581722e-01       2.083206640333e-02       6.108443972408e-01       7.021088239084e-01      -1.192538210881e+00       2.082752147094e-02       1.947013013389e-04      -1.192538210881e+00       2.082752197638e-02      -8.944036581605e-01       2.082752201291e-02      -8.944036581969e-01       2.084159786794e-02 
       7.001396345818e-02       1.560420116459e-07      -1.192538839914e+00       2.083227735157e-02       3.997132441149e-10       9.992831102873e-10       1.078511389840e-17       1.998566220575e-10      -8.944041299352e-01       2.083227735157e-02       6.108442475949e-01       7.021086713379e-01      -1.192538839894e+00       2.082773228782e-02       1.947050471594e-04      -1.192538839894e+00       2.082773292498e-02      -8.944041299204e-01       2.082773296142e-02      -8.944041299663e-01       2.084180909165e-02 
       7.001929863819e-02       1.560539041215e-07      -1.192543814518e+00       2.083394590070e-02       3.998061929169e-10       9.995154822923e-10       1.078926623790e-17       1.999030964585e-10      -8.944078608885e-01       2.083394590070e-02       6.108430640945e-01       7.021074647362e-01      -1.192543814466e+00       2.082939979777e-02       1.947346771476e-04      -1.192543814466e+00       2.082940147694e-02      -8.944078608494e-01       2.082940151340e-02      -8.944078609705e-01       2.084347981981e-02 
       7.002463381819e-02       1.560657965973e-07      -1.192548787726e+00       2.083561443731e-02       3.998991558847e-10       9.997478897117e-10       1.079341984971e-17       1.999495779423e-10      -8.944115907943e-01       2.083561443731e-02       6.108418808890e-01       7.021062584867e-01      -1.192548787641e+00       2.083106729505e-02       1.947643095068e-04      -1.192548787641e+00       2.083107001639e-02      -8.944115907310e-01       2.083107005287e-02      -8.944115909271e-01       2.084515053579e-02 
